X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.0440494287274754,39.368205792525075,0.5405436753593662
2.0,2.0,train,0.044187202182990395,43.7860081508109,0.5413191483410755
3.0,3.0,train,0.030299651559708214,13.142166855142664,0.4472854706084213
4.0,4.0,train,0.052590152608519285,53.77460131881068,0.5841293218267855
5.0,5.0,train,0.05537870099414858,69.94905949237351,0.5966230998337264
6.0,6.0,train,0.0578510531744981,87.2236726126905,0.6070886534132351
7.0,7.0,train,0.05989257582710882,93.21844464869812,0.6153297248271247
8.0,8.0,train,0.04044630554774943,30.60456825522296,0.5192890407871491
9.0,9.0,train,0.057802584546617325,81.44401612588095,0.606888705399907
10.0,10.0,train,0.05263611616746859,59.03833947586266,0.5843415264606415
11.0,11.0,train,0.04357781204046629,34.9624542020326,0.5378691629208958
12.0,12.0,train,0.06781484433975977,100.0,0.644282468883674
13.0,13.0,train,0.03510789515106291,23.028090809591568,0.4839168519782573
14.0,14.0,train,0.053729261676902076,64.41099782929633,0.5893253060960912
15.0,15.0,train,0.03531830884790562,26.559936958648485,0.48540930917902153
16.0,16.0,train,0.05714837929295207,75.66382734236525,0.6041698589183697
17.0,17.0,train,0.030697838509333077,16.212013789543043,0.45051537542136777
18.0,18.0,train,0.04729628306934011,48.51560738172412,0.5581484199292528
