Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.54126E-3,0.554126447,0.366092247,1,0,0
5.73417E-3,1.127543177,0.374069373,0.990740741,0,0
5.86427E-3,1.713970097,0.379337076,0.981481481,0,0
5.9565E-3,2.309619991,0.383017983,0.972222222,0,0
5.99259E-3,2.908879076,0.38444656,0.962962963,0,0
6.07905E-3,3.516784235,0.387842061,0.953703704,0,0
6.15176E-3,4.131960114,0.390668568,0.944444444,0,0
6.22549E-3,4.754509598,0.393508538,0.935185185,0,0
6.25691E-3,5.380200927,0.394710603,0.925925926,0,0
6.31001E-3,6.011202276,0.396731413,0.916666667,0,0
6.38848E-3,6.650050065,0.399692918,0.907407407,0,0
6.3993E-3,7.289980319,0.400099195,0.898148148,0,0
6.41666E-3,7.931646386,0.400749544,0.888888889,0,0
6.46708E-3,8.578354063,0.40263049,0.87962963,0,0
6.55891E-3,9.234245546,0.406026651,0.87037037,0,0
6.6219E-3,9.896435619,0.408333626,0.861111111,0,0
6.62987E-3,10.559422622,0.408624239,0.851851852,0,0
6.66799E-3,11.226221577,0.410010391,0.842592593,0,0
6.68049E-3,11.894270541,0.410463522,0.833333333,0,0
6.76204E-3,12.57047464,0.413402778,0.824074074,0,0
6.76901E-3,13.247375476,0.413652537,0.814814815,0,0
6.79903E-3,13.927278207,0.414726192,0.805555556,0,0
6.82333E-3,14.609611473,0.41559262,0.796296296,0,0
6.84182E-3,15.2937932,0.416249837,0.787037037,0,0
6.85005E-3,15.978798132,0.41654205,0.777777778,0,0
6.8656E-3,16.665358238,0.417093293,0.768518519,0,0
6.90644E-3,17.356002721,0.418536084,0.759259259,0,0
6.99533E-3,18.055535965,0.421651451,0.75,0,0
7.15005E-3,18.770540899,0.426995141,0.740740741,0,0
7.21656E-3,19.492196666,0.429262012,0.731481481,0,0
7.2285E-3,20.215046616,0.429667139,0.722222222,0,0
7.31152E-3,20.946198304,0.432467691,0.712962963,0,0
7.41672E-3,21.687870055,0.435977319,0.703703704,0,0
7.44831E-3,22.432701184,0.437022868,0.694444444,0,0
