x,y,species logistic values
1.0,1.0,0.15084538
2.0,2.0,0.5936926
3.0,3.0,0.021445708
4.0,4.0,0.042082164
5.0,5.0,0.16045775
6.0,6.0,0.024905914
7.0,7.0,0.039433286
8.0,8.0,0.49200657
9.0,9.0,0.122855805
10.0,10.0,0.15331508
11.0,11.0,0.08500877
12.0,12.0,0.41073972
13.0,13.0,0.15020064
14.0,14.0,0.06943799
15.0,15.0,0.17017321
16.0,16.0,0.07499854
17.0,17.0,0.21816817
18.0,18.0,0.5773782
19.0,19.0,0.40613297
20.0,20.0,0.19750887
21.0,21.0,0.4818631
22.0,22.0,0.08584588
23.0,23.0,0.24516413
24.0,24.0,0.12744266
25.0,25.0,0.5450289
26.0,26.0,0.038905367
27.0,27.0,0.2366822
28.0,28.0,0.027787747
29.0,29.0,0.0648685
30.0,30.0,0.19429766
31.0,31.0,0.04974635
32.0,32.0,0.57887495
33.0,33.0,0.11855568
34.0,34.0,0.08280845
35.0,35.0,0.042202447
36.0,36.0,0.060022924
37.0,37.0,0.26554087
38.0,38.0,0.024672607
39.0,39.0,0.3012247
40.0,40.0,0.034719795
41.0,41.0,0.108198576
42.0,42.0,0.038495835
43.0,43.0,0.06206367
44.0,44.0,0.27884272
45.0,45.0,0.13006113
46.0,46.0,0.040510967
47.0,47.0,0.09083023
48.0,48.0,0.077687204
49.0,49.0,0.0833696
50.0,50.0,0.07448206
51.0,51.0,0.10637927
52.0,52.0,0.11119995
53.0,53.0,0.1839054
54.0,54.0,0.17337786
55.0,55.0,0.18773577
56.0,56.0,0.40334398
57.0,57.0,0.022587594
58.0,58.0,0.27826738
59.0,59.0,0.4069802
60.0,60.0,0.20754893
61.0,61.0,0.3525553
62.0,62.0,0.05976412
63.0,63.0,0.44159296
64.0,64.0,0.5866883
65.0,65.0,0.25301322
66.0,66.0,0.060132574
67.0,67.0,0.035688028
68.0,68.0,0.1907472
69.0,69.0,0.045693226
70.0,70.0,0.03647777
71.0,71.0,0.08887845
72.0,72.0,0.050801843
73.0,73.0,0.0897262
74.0,74.0,0.036957256
75.0,75.0,0.030816475
76.0,76.0,0.06651664
77.0,77.0,0.05299511
78.0,78.0,0.09011107
79.0,79.0,0.18498866
80.0,80.0,0.046077713
81.0,81.0,0.014983994
82.0,82.0,0.39607012
83.0,83.0,0.39308175
84.0,84.0,0.5416697
85.0,85.0,0.036099765
86.0,86.0,0.070129625
87.0,87.0,0.38534197
88.0,88.0,0.2729513
89.0,89.0,0.03289813
90.0,90.0,0.23383525
