Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.85086E-7,0.000048509,0.000013398,1,0,0
7.3738E-7,0.000122247,0.000020367,0.990740741,0,0
1.731E-6,0.000401241,0.00004781,0.972222222,0,0
2.00218E-6,0.000601459,0.000055299,0.962962963,0,0
4.67102E-6,0.00131935,0.000129001,0.944444444,0,0
7.26372E-6,0.002709996,0.000200591,0.925925926,0,0
9.11545E-6,0.005287215,0.000251714,0.898148148,0,0
1.40732E-5,0.010993739,0.000388563,0.851851852,0,0
4.01799E-5,0.026485497,0.001108577,0.796296296,0,0
5.83595E-5,0.051851173,0.001609349,0.75,0,0
1.01149E-4,0.106361849,0.002786044,0.694444444,0,0
2.07181E-4,0.217861945,0.005689974,0.62962963,0,0
2.96963E-4,0.322296625,0.008135674,0.592592593,0,0
4.10097E-4,0.429781693,0.011200381,0.564814815,0,0
4.63376E-4,0.519453705,0.012637146,0.546296296,0,0
5.24425E-4,0.623767069,0.014278282,0.527777778,0,0
5.28941E-4,0.729266783,0.01439947,0.509259259,0,0
5.32953E-4,0.782562075,0.0145071,0.5,0,0
5.36951E-4,0.836257131,0.014614326,0.490740741,0,0
5.80082E-4,0.950022631,0.015769725,0.472222222,0,0
5.94155E-4,1.009438133,0.016146137,0.462962963,0,0
7.09636E-4,1.143084356,0.019223988,0.444444444,0,0
7.732E-4,1.220404389,0.020909946,0.435185185,0,0
8.87351E-4,1.309139501,0.023923118,0.425925926,0,0
9.58249E-4,1.404964433,0.025785257,0.416666667,0,0
1.02409E-3,1.507373525,0.027508233,0.407407407,0,0
1.18118E-3,1.859170799,0.0315946,0.37962963,0,0
1.22701E-3,2.102116036,0.032780254,0.361111111,0,0
1.3265E-3,2.366504717,0.035344053,0.342592593,0,0
1.41379E-3,2.507883847,0.037582616,0.333333333,0,0
1.89676E-3,2.885587525,0.049782072,0.314814815,0,0
1.90146E-3,3.075733918,0.049899466,0.305555556,0,0
1.92444E-3,3.268177948,0.050471995,0.296296296,0,0
2.00485E-3,3.661723629,0.052470302,0.277777778,0,0
2.01854E-3,3.863577342,0.052809531,0.268518519,0,0
2.37224E-3,4.100801202,0.061494123,0.259259259,0,0
2.95828E-3,4.396629511,0.075538251,0.25,0,0
3.75206E-3,4.771835067,0.093903536,0.240740741,0,0
5.07177E-3,5.279012522,0.122874044,0.231481481,0,0
6.62365E-3,5.941377576,0.154656711,0.222222222,0,0
1.29943E-2,7.240812551,0.264119334,0.212962963,0,0
1.5028E-2,8.743616591,0.29333037,0.203703704,0,0
1.58251E-2,10.326121622,0.304155438,0.194444444,0,0
2.11735E-2,12.44347179,0.369018191,0.185185185,0,0
3.01539E-2,15.458858792,0.454409902,0.175925926,0,0
3.1605E-2,18.619361963,0.466085846,0.166666667,0,0
3.31073E-2,21.930096228,0.477658267,0.157407407,0.055555556,0
3.47377E-2,25.403861289,0.489662114,0.148148148,0.111111111,0
3.49536E-2,28.899217699,0.491210623,0.138888889,0.166666667,0
3.69111E-2,32.59033227,0.504832846,0.12962963,0.222222222,0
4.1274E-2,36.717732686,0.532716013,0.12037037,0.277777778,0
4.3421E-2,41.059837332,0.545315981,0.111111111,0.333333333,0
4.54547E-2,45.605308153,0.556639557,0.101851852,0.388888889,0
4.60379E-2,50.209095463,0.559783343,0.092592593,0.444444444,0
4.61714E-2,54.826237694,0.560497031,0.083333333,0.5,0
5.10895E-2,59.935189913,0.585258419,0.074074074,0.555555556,0
5.22743E-2,65.162621104,0.590812087,0.064814815,0.611111111,0
5.32082E-2,70.483438712,0.595085823,0.055555556,0.666666667,0
5.44039E-2,75.923825577,0.600429184,0.046296296,0.722222222,0
5.47723E-2,81.401054519,0.602047292,0.037037037,0.777777778,0
5.61751E-2,87.018569334,0.608090526,0.027777778,0.833333333,0
5.95085E-2,92.969421158,0.621739456,0.018518519,0.888888889,0
7.03058E-2,100,0.660084896,0.009259259,0.944444444,0
7.03058E-2,100,0.660084896,0.009259259,1,0
