x,y,species logistic values
1.0,1.0,0.01741812
2.0,2.0,0.23674539
3.0,3.0,3.0442552E-5
4.0,4.0,2.0456022E-4
5.0,5.0,0.021431893
6.0,6.0,7.393598E-5
7.0,7.0,0.0022983341
8.0,8.0,0.14517745
9.0,9.0,0.013555894
10.0,10.0,0.025725296
11.0,11.0,0.004319612
12.0,12.0,0.06062169
13.0,13.0,0.021783745
14.0,14.0,0.0018586549
15.0,15.0,0.01383025
16.0,16.0,8.7395473E-4
17.0,17.0,0.021625046
18.0,18.0,0.44066796
19.0,19.0,0.07714269
20.0,20.0,0.023860287
21.0,21.0,0.057748463
22.0,22.0,0.02498582
23.0,23.0,0.019817226
24.0,24.0,0.010951989
25.0,25.0,0.055623215
26.0,26.0,0.0010493853
27.0,27.0,0.02724148
28.0,28.0,5.8879807E-5
29.0,29.0,0.0059006275
30.0,30.0,0.013971081
31.0,31.0,0.0020693166
32.0,32.0,0.31693542
33.0,33.0,0.021054275
34.0,34.0,0.0034399077
35.0,35.0,2.1506406E-4
36.0,36.0,7.664377E-4
37.0,37.0,0.01847021
38.0,38.0,3.214886E-4
39.0,39.0,0.019078564
40.0,40.0,2.3104418E-4
41.0,41.0,0.0022806893
42.0,42.0,2.9406464E-4
43.0,43.0,0.010202479
44.0,44.0,0.020618048
45.0,45.0,0.017160546
46.0,46.0,1.4507465E-4
47.0,47.0,0.00904991
48.0,48.0,0.009365244
49.0,49.0,0.010274072
50.0,50.0,0.002322357
51.0,51.0,0.006370372
52.0,52.0,0.0053777667
53.0,53.0,0.024395391
54.0,54.0,0.0025362768
55.0,55.0,0.022524754
56.0,56.0,0.05827652
57.0,57.0,5.3957916E-5
58.0,58.0,0.018673217
59.0,59.0,0.107099935
60.0,60.0,0.017958032
61.0,61.0,0.059807293
62.0,62.0,4.8459333E-4
63.0,63.0,0.060064625
64.0,64.0,0.33845356
65.0,65.0,0.018355913
66.0,66.0,0.005806577
67.0,67.0,2.266113E-4
68.0,68.0,0.02345586
69.0,69.0,1.3288784E-4
70.0,70.0,6.16152E-4
71.0,71.0,0.0036686952
72.0,72.0,0.005366448
73.0,73.0,0.007009666
74.0,74.0,2.2213426E-4
75.0,75.0,4.931958E-4
76.0,76.0,0.0013431042
77.0,77.0,9.1526465E-4
78.0,78.0,0.001624093
79.0,79.0,0.021754658
80.0,80.0,4.5920585E-4
81.0,81.0,1.3014625E-5
82.0,82.0,0.30310848
83.0,83.0,0.058824774
84.0,84.0,0.039696395
85.0,85.0,2.1379416E-4
86.0,86.0,0.0019529462
87.0,87.0,0.13690625
88.0,88.0,0.14147866
89.0,89.0,1.8008663E-4
90.0,90.0,0.027564252
