X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.04568676829600457,53.60816013329155,0.5594606444617931
2.0,2.0,train,0.043390051062726774,49.03935476381858,0.5467120953235879
3.0,3.0,train,0.05314879240477274,63.90629440731871,0.5963453024831477
4.0,4.0,train,0.05455534379136628,69.3626910186048,0.6026167751565012
5.0,5.0,train,0.0413053322245774,36.3062563286553,0.5344842368549577
6.0,6.0,train,0.04228188630508603,44.70044744565988,0.5402932975822156
7.0,7.0,train,0.03746696918586368,28.367998079940755,0.5101547038783516
8.0,8.0,train,0.05968919805542748,92.10233129748846,0.6239424028514314
9.0,9.0,train,0.049832041375969145,58.59149363933847,0.5807426677945201
10.0,10.0,train,0.04166469880087846,40.472338732765245,0.536638932849396
11.0,11.0,train,0.07897663786555442,100.0,0.6870399217679929
12.0,12.0,train,0.027209625898589662,15.483390519277037,0.4306340986137921
13.0,13.0,train,0.03807329638986373,32.17532686073972,0.5141656662651302
14.0,14.0,train,0.05483784219705402,74.84595430452642,0.6038529399158966
15.0,15.0,train,0.03086288014626889,21.403899798858816,0.46175456504691337
16.0,16.0,train,0.057327914858721275,86.13345396803714,0.614425286513004
17.0,17.0,train,0.03217398857517518,24.621294937833166,0.4721097297810489
18.0,18.0,train,0.055549997448893315,80.40060502394188,0.6069353435191743
