x,y,species logistic values
1.0,1.0,0.46567768
2.0,2.0,0.58557034
3.0,3.0,0.38687116
4.0,4.0,0.4688924
5.0,5.0,0.45790315
6.0,6.0,0.38032976
7.0,7.0,0.3698947
8.0,8.0,0.5468229
9.0,9.0,0.46492842
10.0,10.0,0.4733827
11.0,11.0,0.44414097
12.0,12.0,0.4340485
13.0,13.0,0.56277615
14.0,14.0,0.47676778
15.0,15.0,0.43311602
16.0,16.0,0.4536672
17.0,17.0,0.40836
18.0,18.0,0.5075045
19.0,19.0,0.58557034
20.0,20.0,0.49985933
21.0,21.0,0.58557034
22.0,22.0,0.41097844
23.0,23.0,0.5199549
24.0,24.0,0.4346822
25.0,25.0,0.58557034
26.0,26.0,0.35956427
27.0,27.0,0.49868318
28.0,28.0,0.3668925
29.0,29.0,0.3735775
30.0,30.0,0.4630581
31.0,31.0,0.37807733
32.0,32.0,0.56630415
33.0,33.0,0.44416618
34.0,34.0,0.44269776
35.0,35.0,0.3781752
36.0,36.0,0.39521518
37.0,37.0,0.52770853
38.0,38.0,0.33876127
39.0,39.0,0.5350396
40.0,40.0,0.42859873
41.0,41.0,0.4021943
42.0,42.0,0.3887968
43.0,43.0,0.5325311
44.0,44.0,0.42396808
45.0,45.0,0.46824536
46.0,46.0,0.37696552
47.0,47.0,0.43132064
48.0,48.0,0.39860412
49.0,49.0,0.43690956
50.0,50.0,0.45056337
51.0,51.0,0.44718692
52.0,52.0,0.49217844
53.0,53.0,0.45989725
54.0,54.0,0.49530327
55.0,55.0,0.3712678
56.0,56.0,0.53468347
57.0,57.0,0.58557034
58.0,58.0,0.3755235
59.0,59.0,0.53235227
60.0,60.0,0.58557034
61.0,61.0,0.5043662
62.0,62.0,0.4199548
63.0,63.0,0.5571733
64.0,64.0,0.3634307
65.0,65.0,0.39630795
66.0,66.0,0.58557034
67.0,67.0,0.5229915
68.0,68.0,0.38931736
69.0,69.0,0.39833748
70.0,70.0,0.496726
71.0,71.0,0.41468397
72.0,72.0,0.3774306
73.0,73.0,0.4133634
74.0,74.0,0.3929832
75.0,75.0,0.35375637
76.0,76.0,0.42660576
77.0,77.0,0.41874444
78.0,78.0,0.4396806
79.0,79.0,0.41878513
80.0,80.0,0.4939901
81.0,81.0,0.5059166
82.0,82.0,0.5692799
83.0,83.0,0.58557034
84.0,84.0,0.39269593
85.0,85.0,0.4336505
86.0,86.0,0.4509801
87.0,87.0,0.5196552
88.0,88.0,0.48862314
89.0,89.0,0.3942182
90.0,90.0,0.49652505
