Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.34431E-7,0.000043443,0.000011705,1,0,0
5.58837E-7,0.000099327,0.000015057,0.990740741,0,0
1.04657E-6,0.000203984,0.000028197,0.981481481,0,0
1.91026E-6,0.00039501,0.000051465,0.972222222,0,0
2.0023E-6,0.00059524,0.000053945,0.962962963,0,0
2.78638E-6,0.001081987,0.000075068,0.944444444,0,0
6.42862E-6,0.002550345,0.000173176,0.916666667,0,0
8.61923E-6,0.005723537,0.000232174,0.87962963,0,0
1.48523E-5,0.011303577,0.000400007,0.833333333,0,0
3.89129E-5,0.028436871,0.001047331,0.768518519,0,0
6.70196E-5,0.052146012,0.001802454,0.731481481,0,0
1.02857E-4,0.103575385,0.002763621,0.675925926,0,0
1.99469E-4,0.20275422,0.005345572,0.62037037,0,0
2.77256E-4,0.305308946,0.007414725,0.583333333,0,0
3.80678E-4,0.40614904,0.010152478,0.555555556,0,0
5.03177E-4,0.543105569,0.013375768,0.527777778,0,0
5.62821E-4,0.653951409,0.014937569,0.509259259,0,0
6.75529E-4,0.721504317,0.017875436,0.5,0,0
7.0763E-4,0.792267334,0.018708983,0.490740741,0,0
7.34471E-4,0.865714457,0.019404861,0.481481481,0,0
7.36239E-4,0.939338405,0.01945067,0.472222222,0,0
7.39786E-4,1.013317009,0.019542536,0.462962963,0,0
7.79919E-4,1.167887412,0.020580889,0.444444444,0,0
7.89781E-4,1.246865493,0.020835703,0.435185185,0,0
7.91313E-4,1.325996821,0.020875288,0.425925926,0,0
7.95E-4,1.405496786,0.020970498,0.416666667,0,0
8.05531E-4,1.56575057,0.021242401,0.398148148,0,0
8.96087E-4,1.826057652,0.023574113,0.37037037,0,0
9.56817E-4,2.014578273,0.02513165,0.351851852,0,0
1.66816E-3,2.402894972,0.043011956,0.324074074,0,0
2.37656E-3,2.640551305,0.060178426,0.314814815,0,0
2.38996E-3,2.879547775,0.060497241,0.305555556,0,0
2.39365E-3,3.118912529,0.060584817,0.296296296,0,0
2.42073E-3,3.360985394,0.061228289,0.287037037,0,0
2.42687E-3,3.603672309,0.06137407,0.277777778,0,0
2.48313E-3,3.851985318,0.062707655,0.268518519,0,0
2.56859E-3,4.108844133,0.064726082,0.259259259,0,0
3.09077E-3,4.417921095,0.076873045,0.25,0,0
4.41629E-3,4.859549933,0.106335428,0.240740741,0,0
4.77952E-3,5.33750226,0.114083629,0.231481481,0,0
5.89615E-3,5.92711753,0.137083045,0.222222222,0,0
6.31694E-3,6.558811348,0.145443246,0.212962963,0,0
1.14925E-2,7.708063116,0.236433107,0.203703704,0,0
1.62457E-2,9.332632157,0.304448327,0.194444444,0,0
1.88108E-2,11.213709778,0.336350207,0.185185185,0,0
2.81491E-2,14.028619757,0.431308077,0.175925926,0,0
2.9028E-2,16.931414806,0.438864322,0.166666667,0.055555556,0
3.11391E-2,20.045327707,0.456220794,0.157407407,0.055555556,0
3.39611E-2,23.441441185,0.477810878,0.148148148,0.111111111,0
3.78594E-2,27.227382722,0.504961864,0.138888889,0.166666667,0
4.0737E-2,31.30108376,0.523259557,0.12962963,0.222222222,0
4.08729E-2,35.388371483,0.524090108,0.12037037,0.277777778,0
4.16133E-2,39.549697083,0.528565653,0.111111111,0.333333333,0
4.47657E-2,44.026267084,0.546716003,0.101851852,0.388888889,0
4.74923E-2,48.775492801,0.561323486,0.092592593,0.444444444,0
4.9539E-2,53.729392494,0.571684839,0.083333333,0.5,0
5.27516E-2,59.004552906,0.58699645,0.074074074,0.555555556,0
5.30094E-2,64.305488048,0.588177597,0.064814815,0.611111111,0
5.38368E-2,69.689168211,0.591924209,0.055555556,0.666666667,0
5.41308E-2,75.102252008,0.593239212,0.046296296,0.722222222,0
5.67744E-2,80.779690987,0.604691931,0.037037037,0.777777778,0
5.72842E-2,86.508113346,0.606826913,0.027777778,0.833333333,0
5.88247E-2,92.390583283,0.613139953,0.018518519,0.888888889,0
7.60942E-2,100,0.672153234,0.009259259,0.944444444,0
7.60942E-2,100,0.672153234,0.009259259,1,0
