x,y,species logistic values
1.0,1.0,0.025785256
2.0,2.0,0.26411933
3.0,3.0,2.9248169E-5
4.0,4.0,2.0059056E-4
5.0,5.0,0.0315946
6.0,6.0,0.015167108
7.0,7.0,0.0021938938
8.0,8.0,0.122874044
9.0,9.0,0.019223988
10.0,10.0,0.037582617
11.0,11.0,0.0056822384
12.0,12.0,0.005689974
13.0,13.0,0.050625466
14.0,14.0,0.031008774
15.0,15.0,0.0027768726
16.0,16.0,9.2769496E-4
17.0,17.0,0.017018875
18.0,18.0,0.4544099
19.0,19.0,0.07553825
20.0,20.0,0.049899466
21.0,21.0,0.027508233
22.0,22.0,0.015769726
23.0,23.0,0.011827783
24.0,24.0,0.052809533
25.0,25.0,0.0011085765
26.0,26.0,0.03511001
27.0,27.0,5.529904E-5
28.0,28.0,2.2551355E-4
29.0,29.0,0.0067280596
30.0,30.0,0.020909946
31.0,31.0,0.001373537
32.0,32.0,0.29333037
33.0,33.0,1.8344482E-4
34.0,34.0,7.0052716E-4
35.0,35.0,0.014322054
36.0,36.0,3.0289916E-4
37.0,37.0,0.014614326
38.0,38.0,2.9007395E-4
39.0,39.0,0.0027860438
40.0,40.0,3.8856288E-4
41.0,41.0,0.0076090395
42.0,42.0,0.016146136
43.0,43.0,0.008655722
44.0,44.0,0.023923118
45.0,45.0,0.011200381
46.0,46.0,0.012637146
47.0,47.0,0.0033852712
48.0,48.0,0.009537974
49.0,49.0,0.0081356745
50.0,50.0,0.032780252
51.0,51.0,0.004617253
52.0,52.0,0.031517513
53.0,53.0,2.0366695E-5
54.0,54.0,0.0145071
55.0,55.0,0.061494123
56.0,56.0,6.92653E-5
57.0,57.0,0.01439947
58.0,58.0,0.093903534
59.0,59.0,0.014124843
60.0,60.0,0.0014714729
61.0,61.0,0.04978207
62.0,62.0,4.780955E-5
63.0,63.0,4.7339796E-4
64.0,64.0,0.050471995
65.0,65.0,0.3690182
66.0,66.0,0.014278282
67.0,67.0,0.003928434
68.0,68.0,3.0093294E-4
69.0,69.0,0.032144897
70.0,70.0,1.2900136E-4
71.0,71.0,4.0835276E-4
72.0,72.0,0.003545762
73.0,73.0,0.0038078115
74.0,74.0,0.006164174
75.0,75.0,2.517137E-4
76.0,76.0,2.9322226E-4
77.0,77.0,0.0020392756
78.0,78.0,0.0011680291
79.0,79.0,0.002474261
80.0,80.0,0.0016093495
81.0,81.0,6.5701205E-4
82.0,82.0,1.3398358E-5
83.0,83.0,0.30415544
84.0,84.0,0.049371008
85.0,85.0,0.0524703
86.0,86.0,0.002747792
87.0,87.0,0.0013739383
88.0,88.0,0.15465671
89.0,89.0,2.3445526E-4
90.0,90.0,0.035344053
