x,y,species logistic values
1.0,1.0,0.4748059
2.0,2.0,0.58393246
3.0,3.0,0.37576726
4.0,4.0,0.40255344
5.0,5.0,0.4777379
6.0,6.0,0.46771145
7.0,7.0,0.39651242
8.0,8.0,0.38685772
9.0,9.0,0.5486631
10.0,10.0,0.4741224
11.0,11.0,0.48183197
12.0,12.0,0.45513883
13.0,13.0,0.44590554
14.0,14.0,0.5631767
15.0,15.0,0.48491734
16.0,16.0,0.46384367
17.0,17.0,0.5129023
18.0,18.0,0.58393246
19.0,19.0,0.58393246
20.0,20.0,0.50594574
21.0,21.0,0.42474952
22.0,22.0,0.5242277
23.0,23.0,0.58393246
24.0,24.0,0.3772767
25.0,25.0,0.5048753
26.0,26.0,0.3840757
27.0,27.0,0.3902677
28.0,28.0,0.40286136
29.0,29.0,0.4724161
30.0,30.0,0.3944303
31.0,31.0,0.5663874
32.0,32.0,0.4551619
33.0,33.0,0.45381922
34.0,34.0,0.39452082
35.0,35.0,0.41024745
36.0,36.0,0.5312793
37.0,37.0,0.35790586
38.0,38.0,0.5379464
39.0,39.0,0.4118387
40.0,40.0,0.4409145
41.0,41.0,0.4166733
42.0,42.0,0.4043302
43.0,43.0,0.5356651
44.0,44.0,0.4366706
45.0,45.0,0.47714785
46.0,46.0,0.39340222
47.0,47.0,0.44340777
48.0,48.0,0.4109443
49.0,49.0,0.4133688
50.0,50.0,0.44852427
51.0,51.0,0.4579232
52.0,52.0,0.49895424
53.0,53.0,0.5017989
54.0,54.0,0.3881294
55.0,55.0,0.5376225
56.0,56.0,0.58393246
57.0,57.0,0.39206836
58.0,58.0,0.58393246
59.0,59.0,0.5100469
60.0,60.0,0.4329901
61.0,61.0,0.5580786
62.0,62.0,0.38086542
63.0,63.0,0.41125417
64.0,64.0,0.5697913
65.0,65.0,0.58393246
66.0,66.0,0.5269894
67.0,67.0,0.4048104
68.0,68.0,0.41312328
69.0,69.0,0.50309396
70.0,70.0,0.40010935
71.0,71.0,0.38385394
72.0,72.0,0.4281528
73.0,73.0,0.3938323
74.0,74.0,0.4269402
75.0,75.0,0.37187934
76.0,76.0,0.43908834
77.0,77.0,0.43187967
78.0,78.0,0.45105967
79.0,79.0,0.43191695
80.0,80.0,0.50060356
81.0,81.0,0.4251796
82.0,82.0,0.36631873
83.0,83.0,0.51145756
84.0,84.0,0.5690961
85.0,85.0,0.4079258
86.0,86.0,0.46138924
87.0,87.0,0.5239551
88.0,88.0,0.49571708
89.0,89.0,0.40932882
90.0,90.0,0.50291103
