Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.98141E-3,0.59814098,0.386034169,1,0,0
6.15902E-3,1.214042678,0.392992051,0.990740741,0,0
6.27831E-3,1.841873982,0.397577686,0.981481481,0,0
6.36265E-3,2.478138974,0.40077794,0.972222222,0,0
6.3956E-3,3.117699124,0.402019105,0.962962963,0,0
6.47442E-3,3.765141408,0.404967257,0.953703704,0,0
6.54058E-3,4.419199418,0.407419389,0.944444444,0,0
6.54551E-3,5.073750265,0.407601251,0.935185185,0,0
6.60756E-3,5.734506057,0.409881433,0.925925926,0,0
6.63606E-3,6.398112232,0.410923012,0.916666667,0,0
6.68419E-3,7.066531119,0.412673341,0.907407407,0,0
6.72491E-3,7.739022521,0.414146364,0.898148148,0,0
6.76498E-3,8.415520886,0.415588483,0.888888889,0,0
6.77861E-3,9.093381677,0.416077209,0.87962963,0,0
6.78067E-3,9.77144882,0.41615116,0.87037037,0,0
6.90901E-3,10.46234949,0.420713814,0.861111111,0,0
6.9657E-3,11.158919541,0.422706796,0.851851852,0,0
6.97287E-3,11.856206352,0.422957785,0.842592593,0,0
7.00714E-3,12.556919918,0.424154731,0.833333333,0,0
7.01837E-3,13.258756561,0.424545936,0.824074074,0,0
7.09781E-3,13.96853754,0.427298103,0.814814815,0,0
7.12472E-3,14.681009218,0.428224288,0.805555556,0,0
7.14649E-3,15.395658207,0.428971565,0.796296296,0,0
7.16304E-3,16.111962321,0.429538317,0.787037037,0,0
7.17041E-3,16.829003331,0.429790285,0.777777778,0,0
7.18433E-3,17.547436111,0.430265568,0.768518519,0,0
7.21499E-3,18.268934844,0.431309788,0.759259259,0,0
7.22086E-3,18.991020681,0.43150931,0.75,0,0
7.30025E-3,19.721045815,0.434193734,0.740740741,0,0
7.43809E-3,20.464855298,0.43879475,0.731481481,0,0
7.49722E-3,21.214576949,0.440745296,0.722222222,0,0
7.50782E-3,21.965359314,0.441093814,0.712962963,0,0
7.55138E-3,22.720496953,0.44252028,0.703703704,0,0
7.58149E-3,23.478646219,0.443502415,0.694444444,0,0
7.67467E-3,24.246113529,0.446519368,0.685185185,0,0
7.67561E-3,25.013674596,0.446549558,0.675925926,0,0
7.70262E-3,25.783936545,0.447417836,0.666666667,0,0
7.79585E-3,26.563522027,0.450394341,0.657407407,0,0
7.85762E-3,27.349283755,0.452348492,0.648148148,0,0
7.90454E-3,28.139737967,0.453823919,0.638888889,0,0
8.01174E-3,28.940911956,0.457164826,0.62962963,0,0
8.0245E-3,29.743362069,0.45755982,0.62037037,0,0
8.03402E-3,30.546763599,0.457853935,0.611111111,0,0
8.04918E-3,31.351681743,0.458322112,0.601851852,0,0
8.10268E-3,32.161949482,0.459967091,0.592592593,0,0
8.16964E-3,32.978913662,0.462012192,0.583333333,0,0
8.2784E-3,33.806753777,0.465300908,0.574074074,0,0
8.35337E-3,34.642091191,0.467544663,0.564814815,0,0
8.43716E-3,35.485807213,0.470029995,0.555555556,0,0
8.44755E-3,36.330562392,0.470336622,0.546296296,0,0
8.62182E-3,37.192744185,0.475426383,0.537037037,0,0
8.6726E-3,38.060003802,0.476891101,0.527777778,0,0
8.75363E-3,38.935367071,0.479211764,0.518518519,0,0
8.8019E-3,39.815557194,0.480584283,0.509259259,0,0
8.82131E-3,40.697687745,0.481134009,0.5,0,0
8.8881E-3,41.5864976,0.483017399,0.490740741,0,0
8.905E-3,42.476997823,0.483491873,0.481481481,0,0
8.9956E-3,43.376558107,0.486020195,0.472222222,0,0
9.02313E-3,44.278870894,0.486783419,0.462962963,0.055555556,0
9.11314E-3,45.190184412,0.48926343,0.453703704,0.055555556,0
9.22727E-3,46.112911779,0.492374077,0.444444444,0.055555556,0
9.53376E-3,47.066287612,0.500542331,0.435185185,0.111111111,0
9.62131E-3,48.028418556,0.502827642,0.425925926,0.111111111,0
9.65576E-3,48.993994191,0.503721073,0.416666667,0.111111111,0
9.66143E-3,49.960137545,0.503868011,0.407407407,0.111111111,0
9.7169E-3,50.931827709,0.505299082,0.398148148,0.111111111,0
9.83724E-3,51.915551349,0.5083755,0.388888889,0.111111111,0
9.87977E-3,52.903528626,0.50945383,0.37962963,0.166666667,0
9.92468E-3,53.895996893,0.51058721,0.37037037,0.166666667,0
9.97089E-3,54.893086272,0.511747973,0.361111111,0.166666667,0
1.03319E-2,55.926278234,0.520630384,0.351851852,0.166666667,0
1.0341E-2,56.960377687,0.520849494,0.342592593,0.166666667,0
1.04334E-2,58.003719729,0.523069726,0.333333333,0.166666667,0
1.05787E-2,59.061594328,0.526519393,0.324074074,0.166666667,0
1.07239E-2,60.133988595,0.52991652,0.314814815,0.166666667,0
1.07296E-2,61.206946195,0.53004734,0.305555556,0.166666667,0
1.07976E-2,62.286710851,0.531622365,0.296296296,0.166666667,0
1.0809E-2,63.367606256,0.531882978,0.287037037,0.166666667,0
1.11906E-2,64.486666609,0.540512189,0.277777778,0.166666667,0
1.1283E-2,65.614961669,0.542552593,0.268518519,0.166666667,0
1.12966E-2,66.744625766,0.54285354,0.259259259,0.222222222,0
1.1497E-2,67.89432721,0.547213346,0.25,0.277777778,0
1.15384E-2,69.048167396,0.548103528,0.240740741,0.333333333,0
1.17319E-2,70.221353339,0.552218518,0.231481481,0.333333333,0
1.18556E-2,71.40691538,0.554811929,0.222222222,0.333333333,0
1.19406E-2,72.600977989,0.55657589,0.212962963,0.333333333,0
1.19612E-2,73.797099089,0.557000949,0.203703704,0.388888889,0
1.19885E-2,74.995948176,0.557562998,0.194444444,0.388888889,0
1.21117E-2,76.207120662,0.560084326,0.185185185,0.388888889,0
1.24909E-2,77.456211033,0.56766507,0.175925926,0.444444444,0
1.25243E-2,78.708643753,0.56832078,0.166666667,0.5,0
