x,y,species logistic values
1.0,1.0,0.014022077
2.0,2.0,0.24777055
3.0,3.0,3.074006E-5
4.0,4.0,2.2051587E-4
5.0,5.0,0.017300677
6.0,6.0,0.008283465
7.0,7.0,6.3573876E-5
8.0,8.0,1.283844E-4
9.0,9.0,0.012500151
10.0,10.0,0.021601776
11.0,11.0,0.003965851
12.0,12.0,0.0101259975
13.0,13.0,0.06288918
14.0,14.0,0.02089408
15.0,15.0,0.0015793182
16.0,16.0,0.028402718
17.0,17.0,0.00204876
18.0,18.0,0.020663768
19.0,19.0,0.44566092
20.0,20.0,0.07783223
21.0,21.0,0.024778299
22.0,22.0,0.075563766
23.0,23.0,0.0014325554
24.0,24.0,0.021798205
25.0,25.0,0.019372828
26.0,26.0,0.001141253
27.0,27.0,0.0326895
28.0,28.0,5.786616E-4
29.0,29.0,0.0070155202
30.0,30.0,0.31303012
31.0,31.0,0.01722243
32.0,32.0,0.00310137
33.0,33.0,4.8953964E-4
34.0,34.0,0.0015887015
35.0,35.0,0.02275334
36.0,36.0,3.656307E-4
37.0,37.0,0.02543106
38.0,38.0,2.036016E-4
39.0,39.0,0.0053871437
40.0,40.0,2.5752318E-4
41.0,41.0,0.00896771
42.0,42.0,0.025097318
43.0,43.0,0.014658267
44.0,44.0,0.015943691
45.0,45.0,3.5742373E-4
46.0,46.0,0.0073295096
47.0,47.0,0.010817286
48.0,48.0,0.011315899
49.0,49.0,0.0020353724
50.0,50.0,0.005133029
51.0,51.0,0.004205564
52.0,52.0,0.025219409
53.0,53.0,0.008105823
54.0,54.0,0.023693535
55.0,55.0,7.452205E-5
56.0,56.0,0.024736935
57.0,57.0,0.06176134
58.0,58.0,0.02392656
59.0,59.0,0.10713776
60.0,60.0,0.01820523
61.0,61.0,0.0013333635
62.0,62.0,6.1757535E-5
63.0,63.0,0.0011325465
64.0,64.0,0.06655179
65.0,65.0,0.37143844
66.0,66.0,0.02173866
67.0,67.0,0.0069551226
68.0,68.0,0.02508189
69.0,69.0,3.648837E-4
70.0,70.0,9.401682E-4
71.0,71.0,0.006651145
72.0,72.0,0.0047819414
73.0,73.0,2.0909279E-4
74.0,74.0,5.055618E-4
75.0,75.0,0.0010583674
76.0,76.0,8.231648E-4
77.0,77.0,0.004799644
78.0,78.0,0.022514919
79.0,79.0,3.9740468E-4
80.0,80.0,1.2017417E-5
81.0,81.0,0.34252357
82.0,82.0,0.06093774
83.0,83.0,0.049343914
84.0,84.0,1.9923247E-4
85.0,85.0,0.0017445431
86.0,86.0,0.0027713687
87.0,87.0,0.1383363
88.0,88.0,0.12590566
89.0,89.0,1.5685539E-4
90.0,90.0,0.032723557
