X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.042610006543707245,36.12417581540569,0.5314773764278992
2.0,2.0,train,0.04602826875179085,49.89306166083305,0.5506365300455569
3.0,3.0,train,0.03501997947755688,15.857148707930468,0.4824836364850552
4.0,4.0,train,0.05247093057142557,65.37958975922477,0.5827922393137945
5.0,5.0,train,0.055070999960240674,76.1581661118182,0.5945025406092403
6.0,6.0,train,0.05272120381307811,70.65107514550628,0.583948767509432
7.0,7.0,train,0.05585699195207257,81.74380820750413,0.5979142151399319
8.0,8.0,train,0.04196635344016197,31.8630665349032,0.527685481058494
9.0,9.0,train,0.045984463086141264,45.29290221390121,0.5504009187655547
10.0,10.0,train,0.06761968561807088,99.99999004960837,0.6428800106845836
11.0,11.0,train,0.05709545551174561,87.4532058579722,0.60317491691845
12.0,12.0,train,0.05000270997214758,54.896638668389244,0.5710323423837145
13.0,13.0,train,0.03850987373941486,19.708111465326773,0.5062251257117644
14.0,14.0,train,0.03959169917925111,23.66730735722451,0.5131486177874626
15.0,15.0,train,0.0399921980394736,27.66651058803119,0.515662750379797
16.0,16.0,train,0.05784620487133026,93.23803480831586,0.6062974348834829
17.0,17.0,train,0.045709061051334966,40.695014823067055,0.5489139749895201
18.0,18.0,train,0.05235236320453908,60.13177078807319,0.5822420845775877
