Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.08358E-7,0.000050836,0.000013085,1,0,0
7.49218E-7,0.000125758,0.000019284,0.990740741,0,0
1.73208E-6,0.000407166,0.000044581,0.972222222,0,0
2.01295E-6,0.000608461,0.000051809,0.962962963,0,0
3.55106E-6,0.001224254,0.000091394,0.944444444,0,0
7.1374E-6,0.002943749,0.000183678,0.916666667,0,0
8.76708E-6,0.00541505,0.000225607,0.888888889,0,0
1.11427E-5,0.010502522,0.000286723,0.842592593,0,0
3.70888E-5,0.026814156,0.000953727,0.777777778,0,0
5.51343E-5,0.050620806,0.001417107,0.731481481,0,0
1.11368E-4,0.107135684,0.002858343,0.675925926,0,0
1.92102E-4,0.219118084,0.004920236,0.611111111,0,0
3.31439E-4,0.326080712,0.008458842,0.574074074,0,0
3.68901E-4,0.430833806,0.009405939,0.546296296,0,0
4.54009E-4,0.516356627,0.011550892,0.527777778,0,0
5.34388E-4,0.619679372,0.013568142,0.509259259,0,0
5.73354E-4,0.733704163,0.014543087,0.490740741,0,0
5.80548E-4,0.791758954,0.014722884,0.481481481,0,0
5.85851E-4,0.850344055,0.014855375,0.472222222,0,0
5.92143E-4,0.909558325,0.015012517,0.462962963,0,0
6.24018E-4,1.032195684,0.015807866,0.444444444,0,0
7.60499E-4,1.108245564,0.019198881,0.435185185,0,0
8.54948E-4,1.274215242,0.021531917,0.416666667,0,0
1.00254E-3,1.374469649,0.02515563,0.407407407,0,0
1.01461E-3,1.475930796,0.025450717,0.398148148,0,0
1.10869E-3,1.586800272,0.027745242,0.388888889,0,0
1.1245E-3,1.81157742,0.028129567,0.37037037,0,0
1.17805E-3,2.043189609,0.029429794,0.351851852,0,0
1.27479E-3,2.296434433,0.031769754,0.333333333,0,0
1.69254E-3,2.59401573,0.041746145,0.314814815,0,0
1.71575E-3,2.765590447,0.042294297,0.305555556,0,0
1.79067E-3,3.121688763,0.044059837,0.287037037,0,0
1.7915E-3,3.300839259,0.044079458,0.277777778,0,0
1.85993E-3,3.666141974,0.045686161,0.259259259,0,0
1.86327E-3,3.852468711,0.045764346,0.25,0,0
1.93606E-3,4.046074593,0.047467337,0.240740741,0,0
2.10241E-3,4.256315838,0.051336533,0.231481481,0,0
3.15822E-3,4.800162698,0.075179082,0.212962963,0,0
8.5106E-3,5.651222744,0.179693646,0.203703704,0,0
1.86014E-2,7.511362704,0.323769945,0.194444444,0,0
1.98988E-2,9.501244078,0.338703586,0.185185185,0,0
2.03347E-2,11.534709079,0.343573287,0.175925926,0,0
2.77312E-2,14.307826499,0.416494714,0.166666667,0.055555556,0
3.58309E-2,17.890919821,0.479779693,0.157407407,0.055555556,0
4.16075E-2,22.051669667,0.517129159,0.148148148,0.111111111,0
4.18645E-2,26.238117699,0.518666521,0.138888889,0.166666667,0
4.33741E-2,30.575531552,0.527503818,0.12962963,0.222222222,0
4.4193E-2,34.994826644,0.532162618,0.12037037,0.277777778,0
4.48878E-2,39.483603095,0.536044444,0.111111111,0.333333333,0
4.88962E-2,44.37321875,0.557238443,0.101851852,0.388888889,0
5.17484E-2,49.548054016,0.571177186,0.092592593,0.444444444,0
5.27167E-2,54.819727866,0.575712248,0.083333333,0.5,0
5.27628E-2,60.096009161,0.575925631,0.074074074,0.555555556,0
5.39609E-2,65.492099711,0.581399925,0.064814815,0.611111111,0
5.5031E-2,70.995201145,0.586171308,0.055555556,0.666666667,0
5.58135E-2,76.576553048,0.589592046,0.046296296,0.722222222,0
5.68266E-2,82.259213029,0.593937639,0.037037037,0.777777778,0
5.68707E-2,87.946285512,0.594124822,0.027777778,0.833333333,0
5.98114E-2,93.927422148,0.606221956,0.018518519,0.888888889,0
6.07258E-2,100,0.60983801,0.009259259,0.944444444,0
6.07258E-2,100,0.60983801,0,0.944444444,0
