Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.43412E-5,0.002434122,0.001238753,1,0,0
2.61583E-5,0.005049951,0.001331103,0.990740741,0,0
5.17322E-5,0.010223169,0.002629047,0.981481481,0,0
8.40885E-5,0.025279969,0.00426639,0.962962963,0,0
1.06614E-4,0.054706483,0.005403105,0.935185185,0,0
1.41909E-4,0.108256981,0.007178978,0.898148148,0,0
2.68546E-4,0.22103311,0.013498844,0.851851852,0,0
2.84512E-4,0.304617302,0.014289925,0.824074074,0,0
3.83767E-4,0.405784306,0.01917954,0.796296296,0,0
4.38215E-4,0.533512856,0.021841224,0.768518519,0,0
5.65406E-4,0.640866168,0.028003103,0.75,0,0
6.51099E-4,0.705976109,0.03211099,0.740740741,0,0
7.1368E-4,0.777344152,0.035089069,0.731481481,0,0
7.52617E-4,0.852605861,0.03693274,0.722222222,0,0
8.55104E-4,0.938116305,0.041752058,0.712962963,0,0
9.83124E-4,1.036428726,0.047704668,0.703703704,0,0
9.84257E-4,1.134854446,0.047757019,0.694444444,0,0
1.16677E-3,1.251531816,0.056115925,0.685185185,0,0
1.19365E-3,1.370896961,0.057334493,0.675925926,0,0
1.22163E-3,1.493060198,0.058599739,0.666666667,0,0
1.25852E-3,1.618912305,0.060262596,0.657407407,0,0
1.42623E-3,1.88965929,0.06774911,0.638888889,0,0
1.68185E-3,2.057844046,0.078933013,0.62962963,0,0
1.71444E-3,2.400466962,0.080339896,0.611111111,0,0
1.78868E-3,2.579335109,0.083528169,0.601851852,0,0
2.27738E-3,2.807072747,0.103976468,0.592592593,0,0
2.43671E-3,3.050743747,0.110447584,0.583333333,0,0
2.53129E-3,3.303872461,0.114244687,0.574074074,0,0
2.60291E-3,3.564163035,0.117098547,0.564814815,0,0
2.62115E-3,3.826277945,0.117822572,0.555555556,0,0
2.63409E-3,4.089686926,0.118335431,0.546296296,0,0
3.14729E-3,4.404416354,0.138204561,0.537037037,0,0
3.2311E-3,4.727526107,0.141364326,0.527777778,0,0
3.27152E-3,5.054678318,0.142880248,0.518518519,0,0
3.40467E-3,5.3951454,0.147835693,0.509259259,0,0
4.10732E-3,5.805877465,0.173065517,0.5,0,0
4.14571E-3,6.220448712,0.174401066,0.490740741,0,0
4.21441E-3,6.641889373,0.176780017,0.481481481,0,0
4.3593E-3,7.07781902,0.181753025,0.472222222,0,0
4.56156E-3,7.533974667,0.188595491,0.462962963,0,0
4.57835E-3,7.991809418,0.189158392,0.453703704,0,0
5.15712E-3,8.507521017,0.208094686,0.444444444,0,0
5.63847E-3,9.071368436,0.223183016,0.435185185,0,0
5.88461E-3,9.659829049,0.230678084,0.425925926,0,0
6.16399E-3,10.276227917,0.239012322,0.416666667,0,0
6.41722E-3,10.917950023,0.24641198,0.407407407,0,0
7.27344E-3,11.645293629,0.270399362,0.398148148,0,0
7.42231E-3,12.387524853,0.27441523,0.388888889,0,0
7.73481E-3,13.161006098,0.282702635,0.37962963,0,0
7.98214E-3,13.959220591,0.289128804,0.37037037,0,0
8.01051E-3,14.760271157,0.289858319,0.361111111,0,0
8.40162E-3,15.600432822,0.299768183,0.351851852,0.055555556,0
8.46346E-3,16.446779073,0.301309947,0.342592593,0.055555556,0
8.46771E-3,17.293549968,0.301415557,0.333333333,0.111111111,0
8.78865E-3,18.172415121,0.309306205,0.324074074,0.111111111,0
9.01571E-3,19.073986459,0.314781902,0.314814815,0.111111111,0
9.12605E-3,19.986591372,0.317411473,0.305555556,0.111111111,0
9.58751E-3,20.945342076,0.328193883,0.296296296,0.111111111,0
9.93087E-3,21.938429555,0.335998531,0.287037037,0.111111111,0
1.09948E-2,23.037908469,0.359069585,0.277777778,0.111111111,0
1.22288E-2,24.26079042,0.383899164,0.268518519,0.111111111,0
1.25177E-2,25.512562652,0.389436681,0.259259259,0.166666667,0
1.36192E-2,26.874480838,0.409665848,0.25,0.166666667,0
1.38238E-2,28.256864369,0.413277704,0.240740741,0.222222222,0
1.40793E-2,29.664792916,0.417724509,0.231481481,0.222222222,0
1.44307E-2,31.107859227,0.423732204,0.222222222,0.222222222,0
1.4525E-2,32.560361638,0.425324487,0.212962963,0.222222222,0
1.50612E-2,34.066477976,0.434207058,0.203703704,0.222222222,0
1.62038E-2,35.686854635,0.452250355,0.194444444,0.222222222,0
1.93055E-2,37.617402443,0.49589078,0.185185185,0.222222222,0
2.02051E-2,39.63790926,0.507276319,0.175925926,0.222222222,0
2.24431E-2,41.88222312,0.533489483,0.166666667,0.222222222,0
2.27854E-2,44.160763016,0.537254278,0.157407407,0.222222222,0
2.52719E-2,46.687950852,0.562881822,0.148148148,0.277777778,0
2.56398E-2,49.251932525,0.566434935,0.138888889,0.333333333,0
2.6145E-2,51.866431812,0.571220268,0.12962963,0.388888889,0
2.62389E-2,54.490322995,0.572098304,0.12037037,0.444444444,0
2.81531E-2,57.305629953,0.589241399,0.111111111,0.5,0
2.8291E-2,60.134731062,0.590423888,0.101851852,0.5,0
2.92239E-2,63.057120473,0.598245626,0.092592593,0.555555556,0
2.97814E-2,66.035264755,0.60277936,0.083333333,0.555555556,0
3.06134E-2,69.096607566,0.60935757,0.074074074,0.555555556,0
3.25541E-2,72.352018263,0.623886475,0.064814815,0.611111111,0
3.59136E-2,75.94337393,0.64663688,0.055555556,0.666666667,0
3.92545E-2,79.868820835,0.666687105,0.046296296,0.722222222,0
4.41656E-2,84.28537903,0.692348045,0.037037037,0.777777778,0
4.76503E-2,89.050407325,0.708283589,0.027777778,0.833333333,0
5.00033E-2,94.050734326,0.718141664,0.018518519,0.888888889,0
5.94927E-2,100,0.751947622,0.009259259,0.944444444,0
5.94927E-2,100,0.751947622,0.009259259,1,0
