x,y,species logistic values
1.0,1.0,0.13867724
2.0,2.0,0.013918924
3.0,3.0,0.028937614
4.0,4.0,0.14854418
5.0,5.0,0.111681424
6.0,6.0,0.019302363
7.0,7.0,0.023750776
8.0,8.0,0.46988517
9.0,9.0,0.12081961
10.0,10.0,0.14827168
11.0,11.0,0.078811325
12.0,12.0,0.103376634
13.0,13.0,0.41342884
14.0,14.0,0.15237144
15.0,15.0,0.062288508
16.0,16.0,0.15314777
17.0,17.0,0.059924237
18.0,18.0,0.22283295
19.0,19.0,0.5892668
20.0,20.0,0.4715252
21.0,21.0,0.20360678
22.0,22.0,0.5156337
23.0,23.0,0.058853917
24.0,24.0,0.25493583
25.0,25.0,0.105708376
26.0,26.0,0.5628915
27.0,27.0,0.021539437
28.0,28.0,0.018099535
29.0,29.0,0.027857047
30.0,30.0,0.04024061
31.0,31.0,0.18209672
32.0,32.0,0.03200848
33.0,33.0,0.5461818
34.0,34.0,0.09889939
35.0,35.0,0.07644515
36.0,36.0,0.03073278
37.0,37.0,0.045286696
38.0,38.0,0.27691627
39.0,39.0,0.30560556
40.0,40.0,0.028173244
41.0,41.0,0.09180616
42.0,42.0,0.031688925
43.0,43.0,0.03866704
44.0,44.0,0.29118198
45.0,45.0,0.08491573
46.0,46.0,0.12905155
47.0,47.0,0.029766541
48.0,48.0,0.0734339
49.0,49.0,0.049056605
50.0,50.0,0.05226392
51.0,51.0,0.06758241
52.0,52.0,0.095765665
53.0,53.0,0.09646825
54.0,54.0,0.18625234
55.0,55.0,0.16886151
56.0,56.0,0.19310713
57.0,57.0,0.025543319
58.0,58.0,0.29956242
59.0,59.0,0.017271994
60.0,60.0,0.29064512
61.0,61.0,0.2144053
62.0,62.0,0.054835156
63.0,63.0,0.37063777
64.0,64.0,0.018026195
65.0,65.0,0.04609141
66.0,66.0,0.44375852
67.0,67.0,0.6078716
68.0,68.0,0.26340187
69.0,69.0,0.029069776
70.0,70.0,0.19634108
71.0,71.0,0.034891818
72.0,72.0,0.024092685
73.0,73.0,0.069540195
74.0,74.0,0.030365309
75.0,75.0,0.06821094
76.0,76.0,0.02789887
77.0,77.0,0.018233048
78.0,78.0,0.05614185
79.0,79.0,0.045615852
80.0,80.0,0.11426339
81.0,81.0,0.06502
82.0,82.0,0.19015816
83.0,83.0,0.038893253
84.0,84.0,0.009869325
85.0,85.0,0.33832523
86.0,86.0,0.56335235
87.0,87.0,0.027377486
88.0,88.0,0.063010864
89.0,89.0,0.14095765
90.0,90.0,0.24483734
