Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.30081E-7,0.000043008,0.000011748,1,0,0
9.45606E-7,0.000137569,0.000025829,0.990740741,0,0
1.55821E-6,0.000293389,0.000042561,0.981481481,0,0
2.1873E-6,0.000692044,0.000059743,0.962962963,0,0
3.00336E-6,0.00123126,0.000082031,0.944444444,0,0
7.07823E-6,0.003116304,0.000193307,0.916666667,0,0
8.30441E-6,0.005482441,0.000226787,0.888888889,0,0
9.55684E-6,0.010885932,0.00026098,0.833333333,0,0
3.09559E-5,0.025248717,0.000844857,0.777777778,0,0
6.13741E-5,0.051188087,0.001673649,0.731481481,0,0
1.52092E-4,0.107164872,0.004137271,0.685185185,0,0
2.22187E-4,0.220478024,0.006032494,0.62962963,0,0
2.74236E-4,0.321536972,0.007435154,0.592592593,0,0
4.62786E-4,0.437448929,0.012483367,0.564814815,0,0
5.55579E-4,0.546143086,0.014948964,0.546296296,0,0
6.14183E-4,0.607561366,0.016499808,0.537037037,0,0
6.2812E-4,0.732713415,0.016867915,0.518518519,0,0
6.43206E-4,0.797033984,0.017266036,0.509259259,0,0
6.7113E-4,0.864147005,0.018002139,0.5,0,0
6.96885E-4,0.933835517,0.018680074,0.490740741,0,0
7.51649E-4,1.00900042,0.020118493,0.481481481,0,0
7.82088E-4,1.163551825,0.020916175,0.462962963,0,0
8.08961E-4,1.244447962,0.02161934,0.453703704,0,0
8.75148E-4,1.33196278,0.023346874,0.444444444,0,0
8.94064E-4,1.421369188,0.023839474,0.435185185,0,0
9.60853E-4,1.517454489,0.0255748,0.425925926,0,0
9.98111E-4,1.814481338,0.02654016,0.398148148,0,0
1.03214E-3,2.019134403,0.027420297,0.37962963,0,0
1.18654E-3,2.359840596,0.031393249,0.351851852,0,0
1.24417E-3,2.603811339,0.032867804,0.333333333,0,0
1.59692E-3,2.889685121,0.041797268,0.314814815,0,0
1.82266E-3,3.071950676,0.047425336,0.305555556,0,0
1.82279E-3,3.254230004,0.04742875,0.296296296,0,0
2.68205E-3,3.716901629,0.068260422,0.277777778,0,0
3.44795E-3,4.061696961,0.086075307,0.268518519,0,0
3.87849E-3,4.449545607,0.09579363,0.259259259,0,0
4.54122E-3,4.903668048,0.110356012,0.25,0,0
4.58582E-3,5.362250427,0.111319171,0.240740741,0,0
6.21307E-3,5.983557494,0.145088857,0.231481481,0,0
8.25809E-3,6.809366036,0.184054801,0.222222222,0,0
9.31305E-3,7.740670536,0.202799192,0.212962963,0,0
1.08954E-2,8.830213572,0.229353913,0.203703704,0,0
1.31105E-2,10.141267653,0.263687511,0.194444444,0,0
1.68255E-2,11.823817138,0.314878114,0.185185185,0,0
2.3814E-2,14.205218659,0.394118657,0.175925926,0,0
2.5769E-2,16.782119122,0.413107451,0.166666667,0.055555556,0
2.7767E-2,19.558817475,0.431322174,0.157407407,0.055555556,0
3.52959E-2,23.088409975,0.49086629,0.148148148,0.111111111,0
3.65018E-2,26.738592978,0.499263994,0.138888889,0.166666667,0
3.7521E-2,30.490697077,0.506148552,0.12962963,0.222222222,0
4.11805E-2,34.608743034,0.529380474,0.12037037,0.277777778,0
4.13117E-2,38.73991523,0.530173258,0.111111111,0.333333333,0
4.19403E-2,42.93394782,0.533933103,0.101851852,0.388888889,0
4.32777E-2,47.261713213,0.541735167,0.092592593,0.444444444,0
5.12696E-2,52.388670331,0.583410808,0.083333333,0.5,0
5.27778E-2,57.666448108,0.590439806,0.074074074,0.555555556,0
5.32312E-2,62.989565391,0.592506716,0.064814815,0.611111111,0
5.37455E-2,68.364118245,0.594826417,0.055555556,0.666666667,0
5.57049E-2,73.934603365,0.603426014,0.046296296,0.722222222,0
5.81867E-2,79.753274063,0.613808707,0.037037037,0.777777778,0
5.92086E-2,85.67413475,0.617927439,0.027777778,0.833333333,0
6.43786E-2,92.111994011,0.637487276,0.018518519,0.888888889,0
7.88801E-2,100,0.683006271,0.009259259,0.944444444,0
7.88801E-2,100,0.683006271,0,0.944444444,0
