x,y,species logistic values
1.0,1.0,0.013687755
2.0,2.0,0.22582838
3.0,3.0,1.739897E-5
4.0,4.0,0.01723259
5.0,5.0,0.0076045007
6.0,6.0,4.0501698E-5
7.0,7.0,0.0016090834
8.0,8.0,0.12403309
9.0,9.0,0.011718729
10.0,10.0,0.021400748
11.0,11.0,0.0035126484
12.0,12.0,0.006177099
13.0,13.0,0.06036152
14.0,14.0,0.02000631
15.0,15.0,0.0012599819
16.0,16.0,0.017979812
17.0,17.0,0.0011643391
18.0,18.0,0.016383536
19.0,19.0,0.16913061
20.0,20.0,0.023915479
21.0,21.0,0.06104296
22.0,22.0,0.020295683
23.0,23.0,0.012918819
24.0,24.0,0.048601896
25.0,25.0,0.0010676129
26.0,26.0,0.028461484
27.0,27.0,3.5921847E-5
28.0,28.0,3.3887304E-4
29.0,29.0,0.0068798135
30.0,30.0,0.019172534
31.0,31.0,0.0020525937
32.0,32.0,0.31088027
33.0,33.0,0.011829808
34.0,34.0,0.0026017318
35.0,35.0,0.016496219
36.0,36.0,3.1768807E-4
37.0,37.0,0.017588777
38.0,38.0,1.4446261E-4
39.0,39.0,1.8170768E-4
40.0,40.0,0.007299242
41.0,41.0,0.018577524
42.0,42.0,0.009972708
43.0,43.0,0.015369745
44.0,44.0,1.9350299E-4
45.0,45.0,0.004619147
46.0,46.0,0.010983825
47.0,47.0,0.011805128
48.0,48.0,0.0016432323
49.0,49.0,0.0045145624
50.0,50.0,0.0036961106
51.0,51.0,0.004099042
52.0,52.0,3.4289744E-5
53.0,53.0,0.017470444
54.0,54.0,0.06566985
55.0,55.0,2.8675691E-5
56.0,56.0,0.0171712
57.0,57.0,0.03043199
58.0,58.0,9.845665E-4
59.0,59.0,0.06018337
60.0,60.0,3.4156612E-5
61.0,61.0,6.3753186E-4
62.0,62.0,0.061383598
63.0,63.0,0.28082553
64.0,64.0,0.01595174
65.0,65.0,0.0051426557
66.0,66.0,1.3590918E-4
67.0,67.0,0.024278687
68.0,68.0,1.9016878E-4
69.0,69.0,6.061742E-4
70.0,70.0,0.003730924
71.0,71.0,0.007449192
72.0,72.0,1.4361837E-4
73.0,73.0,4.5450008E-4
74.0,74.0,8.069486E-4
75.0,75.0,6.501065E-4
76.0,76.0,0.0025491947
77.0,77.0,0.0012811412
78.0,78.0,0.021471478
79.0,79.0,2.7999378E-4
80.0,80.0,6.7245596E-6
81.0,81.0,0.33046705
82.0,82.0,0.062414005
83.0,83.0,0.042768136
84.0,84.0,1.3743182E-4
85.0,85.0,0.0013975753
86.0,86.0,0.0012702276
87.0,87.0,0.099563
88.0,88.0,0.11084208
89.0,89.0,1.0701909E-4
90.0,90.0,0.028583167
