Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.41205E-3,0.541205274,0.35932154,1,0,0
5.61305E-3,1.102510344,0.36775869,0.990740741,0,0
5.74886E-3,1.677396753,0.373334938,0.981481481,0,0
5.84526E-3,2.261923037,0.377233578,0.972222222,0,0
5.88301E-3,2.850224334,0.378747115,0.962962963,0,0
5.97351E-3,3.447574996,0.382345547,0.953703704,0,0
6.04967E-3,4.052542062,0.385342019,0.944444444,0,0
6.05535E-3,4.658077273,0.385564375,0.935185185,0,0
6.12697E-3,5.270774559,0.388353685,0.925925926,0,0
6.15993E-3,5.88676747,0.389628694,0.916666667,0,0
6.21565E-3,6.508332774,0.391772488,0.907407407,0,0
6.26288E-3,7.13462116,0.393577781,0.898148148,0,0
6.29805E-3,7.764426231,0.394915011,0.888888889,0,0
6.32526E-3,8.396952508,0.395945717,0.87962963,0,0
6.32766E-3,9.029718759,0.396036443,0.87037037,0,0
6.38066E-3,9.667784383,0.398033034,0.861111111,0,0
6.47726E-3,10.31551031,0.401638886,0.851851852,0,0
6.54356E-3,10.969866771,0.404088933,0.842592593,0,0
6.55196E-3,11.625062455,0.404397604,0.833333333,0,0
6.60528E-3,12.285590294,0.406351358,0.824074074,0,0
6.69124E-3,12.954714137,0.409474171,0.814814815,0,0
6.69859E-3,13.624572699,0.409739562,0.805555556,0,0
6.73025E-3,14.29759737,0.410880479,0.796296296,0,0
6.75589E-3,14.97318621,0.411801257,0.787037037,0,0
6.77539E-3,15.65072554,0.412499742,0.777777778,0,0
6.78408E-3,16.329133625,0.412810316,0.768518519,0,0
6.80049E-3,17.009183124,0.413396215,0.759259259,0,0
6.83668E-3,17.692851279,0.414683764,0.75,0,0
6.84362E-3,18.377212808,0.414929828,0.740740741,0,0
6.93751E-3,19.070964306,0.418241869,0.731481481,0,0
7.10114E-3,19.78107853,0.423924618,0.722222222,0,0
7.17155E-3,20.498233792,0.426335938,0.712962963,0,0
7.1842E-3,21.216653752,0.426766917,0.703703704,0,0
7.23617E-3,21.940271144,0.428531304,0.694444444,0,0
7.27216E-3,22.66748683,0.429746477,0.685185185,0,0
7.38371E-3,23.405857975,0.433481136,0.675925926,0,0
7.38484E-3,24.144341537,0.433518522,0.666666667,0,0
7.41723E-3,24.886064918,0.434593867,0.657407407,0,0
7.52929E-3,25.638993725,0.438281847,0.648148148,0,0
7.66033E-3,26.405026738,0.442534192,0.638888889,0,0
7.73825E-3,27.178851637,0.445032291,0.62962963,0,0
7.79001E-3,27.957852803,0.446679476,0.62037037,0,0
7.80548E-3,28.738400606,0.447169749,0.611111111,0,0
7.81701E-3,29.520101905,0.447534833,0.601851852,0,0
7.83541E-3,30.303642634,0.448116022,0.592592593,0,0
7.90036E-3,31.093678449,0.450158472,0.583333333,0,0
7.98181E-3,31.89185948,0.452698554,0.574074074,0,0
8.07132E-3,32.698991875,0.455463103,0.564814815,0,0
8.11445E-3,33.510436871,0.456785066,0.555555556,0,0
8.11521E-3,34.321957381,0.456808157,0.546296296,0,0
8.20614E-3,35.14257091,0.459574324,0.537037037,0,0
8.30884E-3,35.973454731,0.46266494,0.527777778,0,0
8.32159E-3,36.805614082,0.463046316,0.518518519,0,0
8.40426E-3,37.646039899,0.465504881,0.509259259,0,0
8.53607E-3,38.499647119,0.469378982,0.5,0,0
8.59877E-3,39.359524096,0.471202063,0.490740741,0,0
8.69902E-3,40.229425641,0.47409106,0.481481481,0,0
8.78291E-3,41.107716143,0.476484536,0.472222222,0,0
8.86586E-3,41.994302096,0.478830007,0.462962963,0,0
8.88688E-3,42.882989862,0.479420944,0.453703704,0,0
8.9997E-3,43.782959681,0.482570196,0.444444444,0,0
9.14647E-3,44.697606941,0.486610646,0.435185185,0.055555556,0
9.28946E-3,45.626552505,0.490486507,0.425925926,0.055555556,0
9.55091E-3,46.581643729,0.497424561,0.416666667,0.111111111,0
9.67554E-3,47.549197795,0.500665649,0.407407407,0.111111111,0
9.73966E-3,48.523163733,0.50231689,0.398148148,0.111111111,0
9.7864E-3,49.501803468,0.503513661,0.388888889,0.111111111,0
9.83008E-3,50.484811676,0.504627059,0.37962963,0.111111111,0
9.90772E-3,51.475583631,0.506593539,0.37037037,0.111111111,0
9.95029E-3,52.470612366,0.507665127,0.361111111,0.111111111,0
1.00609E-2,53.476698584,0.510427074,0.351851852,0.111111111,0
1.01151E-2,54.488209218,0.511770691,0.342592593,0.166666667,0
1.01724E-2,55.505453193,0.513182833,0.333333333,0.166666667,0
1.02315E-2,56.528603299,0.514629019,0.324074074,0.166666667,0
1.06952E-2,57.598125586,0.525692018,0.314814815,0.166666667,0
1.07069E-2,58.668818713,0.525964821,0.305555556,0.166666667,0
1.08263E-2,59.751450963,0.528728802,0.296296296,0.166666667,0
1.10146E-2,60.852908316,0.533022047,0.287037037,0.166666667,0
1.12033E-2,61.973237779,0.537248209,0.277777778,0.166666667,0
1.12993E-2,63.103171147,0.539369643,0.268518519,0.166666667,0
1.18141E-2,64.284579043,0.550416442,0.259259259,0.166666667,0
1.19357E-2,65.478149054,0.55294957,0.25,0.166666667,0
1.19538E-2,66.67352418,0.553323109,0.240740741,0.222222222,0
1.22186E-2,67.895380515,0.558732082,0.231481481,0.277777778,0
1.22734E-2,69.122720821,0.559835889,0.222222222,0.333333333,0
1.25304E-2,70.375758956,0.564935602,0.212962963,0.333333333,0
1.28089E-2,71.656645752,0.57033038,0.203703704,0.333333333,0
1.28364E-2,72.94028503,0.570856328,0.194444444,0.388888889,0
1.28729E-2,74.227573791,0.571551695,0.185185185,0.388888889,0
1.3038E-2,75.531374162,0.574669831,0.175925926,0.388888889,0
1.35486E-2,76.886237555,0.584031942,0.166666667,0.444444444,0
1.35963E-2,78.24587064,0.584885434,0.157407407,0.5,0
