x,y,species logistic values
1.0,1.0,0.1437575
2.0,2.0,0.61280394
3.0,3.0,0.016127484
4.0,4.0,0.031939626
5.0,5.0,0.15363005
6.0,6.0,0.11522064
7.0,7.0,0.021559764
8.0,8.0,0.027125144
9.0,9.0,0.12004249
10.0,10.0,0.14958984
11.0,11.0,0.080128305
12.0,12.0,0.12854576
13.0,13.0,0.3761546
14.0,14.0,0.14959034
15.0,15.0,0.064155966
16.0,16.0,0.18422513
17.0,17.0,0.0780082
18.0,18.0,0.21417587
19.0,19.0,0.57352495
20.0,20.0,0.42752334
21.0,21.0,0.19600159
22.0,22.0,0.46502364
23.0,23.0,0.062671855
24.0,24.0,0.24188672
25.0,25.0,0.13099174
26.0,26.0,0.025182392
27.0,27.0,0.21773744
28.0,28.0,0.03867212
29.0,29.0,0.04888552
30.0,30.0,0.5559524
31.0,31.0,0.10746826
32.0,32.0,0.07785269
33.0,33.0,0.04236795
34.0,34.0,0.06036159
35.0,35.0,0.26146916
36.0,36.0,0.01658992
37.0,37.0,0.286162
38.0,38.0,0.030595114
39.0,39.0,0.11534568
40.0,40.0,0.034112923
41.0,41.0,0.042801436
42.0,42.0,0.27417085
43.0,43.0,0.10690899
44.0,44.0,0.12777969
45.0,45.0,0.041174293
46.0,46.0,0.08063971
47.0,47.0,0.05692571
48.0,48.0,0.057467166
49.0,49.0,0.06929539
50.0,50.0,0.09957084
51.0,51.0,0.102451265
52.0,52.0,0.18042022
53.0,53.0,0.20212461
54.0,54.0,0.18656942
55.0,55.0,0.035911635
56.0,56.0,0.28127554
57.0,57.0,0.42891964
58.0,58.0,0.27369288
59.0,59.0,0.43413702
60.0,60.0,0.20568226
61.0,61.0,0.057168286
62.0,62.0,0.020755429
63.0,63.0,0.061406042
64.0,64.0,0.39924222
65.0,65.0,0.6116003
66.0,66.0,0.24943173
67.0,67.0,0.05476021
68.0,68.0,0.1894768
69.0,69.0,0.047674
70.0,70.0,0.033762492
71.0,71.0,0.08911272
72.0,72.0,0.034288865
73.0,73.0,0.030338978
74.0,74.0,0.02602339
75.0,75.0,0.059767537
76.0,76.0,0.04779186
77.0,77.0,0.14131877
78.0,78.0,0.18391642
79.0,79.0,0.041234527
80.0,80.0,0.011612031
81.0,81.0,0.32890087
82.0,82.0,0.37129003
83.0,83.0,0.5199719
84.0,84.0,0.029776713
85.0,85.0,0.06485858
86.0,86.0,0.17173943
87.0,87.0,0.36342975
88.0,88.0,0.2588475
89.0,89.0,0.028905652
90.0,90.0,0.21451946
