Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.3619E-6,0.00013619,0.000037398,1,0,0
2.05388E-6,0.000341578,0.000056399,0.990740741,0,0
2.11948E-6,0.000553526,0.000058201,0.981481481,0,0
2.84709E-6,0.001060466,0.000078179,0.962962963,0,0
7.62667E-6,0.003185955,0.000209396,0.935185185,0,0
8.10035E-6,0.005552052,0.000222399,0.907407407,0,0
1.74374E-5,0.010779349,0.000478627,0.87037037,0,0
3.6418E-5,0.025076447,0.000999095,0.824074074,0,0
6.06072E-5,0.054186301,0.001661602,0.768518519,0,0
1.0316E-4,0.109033357,0.002824924,0.703703704,0,0
1.87086E-4,0.216108014,0.005111412,0.638888889,0,0
2.91908E-4,0.312119499,0.007952501,0.601851852,0,0
3.76371E-4,0.410591916,0.010229999,0.574074074,0,0
4.72341E-4,0.538826877,0.012805123,0.546296296,0,0
4.93271E-4,0.636479991,0.013364931,0.527777778,0,0
5.0796E-4,0.738056503,0.013757453,0.509259259,0,0
5.08166E-4,0.788873089,0.013762958,0.5,0,0
5.1971E-4,0.840844139,0.014071228,0.490740741,0,0
5.46989E-4,0.949559623,0.014798873,0.472222222,0,0
5.6545E-4,1.006104624,0.015290696,0.462962963,0,0
5.89154E-4,1.122835537,0.01592149,0.444444444,0,0
5.97189E-4,1.24189387,0.016135129,0.425925926,0,0
6.6227E-4,1.308120905,0.01786211,0.416666667,0,0
7.31354E-4,1.454261476,0.019688685,0.398148148,0,0
7.38759E-4,1.528137414,0.019884077,0.388888889,0,0
1.06139E-3,1.831320058,0.028321996,0.361111111,0,0
1.15634E-3,2.053577019,0.030777655,0.342592593,0,0
1.20221E-3,2.292674803,0.031959488,0.324074074,0,0
2.21176E-3,2.513850709,0.057260421,0.314814815,0,0
2.45312E-3,2.987432762,0.063114662,0.296296296,0,0
2.53165E-3,3.240597736,0.065003758,0.287037037,0,0
2.70633E-3,3.511231063,0.069178726,0.277777778,0,0
2.89326E-3,3.800557275,0.073605259,0.268518519,0,0
3.32304E-3,4.13286157,0.083624654,0.259259259,0,0
3.77739E-3,4.510600245,0.093983682,0.25,0,0
5.29505E-3,5.040104792,0.126950277,0.240740741,0,0
5.3471E-3,5.574814504,0.128038445,0.231481481,0,0
6.25666E-3,6.20048017,0.146624768,0.222222222,0,0
1.1387E-2,7.339182114,0.238214313,0.212962963,0,0
1.40159E-2,8.740769168,0.277924886,0.203703704,0,0
1.62563E-2,10.366402686,0.308639835,0.194444444,0,0
2.04319E-2,12.409588137,0.35942207,0.185185185,0,0
3.03954E-2,15.449128097,0.454953148,0.175925926,0,0
3.05526E-2,18.504384239,0.456232291,0.166666667,0.055555556,0
3.15316E-2,21.657540368,0.464067154,0.157407407,0.055555556,0
3.19015E-2,24.847688872,0.466969171,0.148148148,0.111111111,0
3.52299E-2,28.370677429,0.491732294,0.138888889,0.166666667,0
3.81729E-2,32.187969006,0.511787233,0.12962963,0.222222222,0
3.8805E-2,36.068471633,0.515889947,0.12037037,0.277777778,0
3.99402E-2,40.062494069,0.523087411,0.111111111,0.333333333,0
4.32798E-2,44.390469756,0.543072088,0.101851852,0.388888889,0
4.70028E-2,49.090749709,0.563465471,0.092592593,0.444444444,0
4.73435E-2,53.825099332,0.565241132,0.083333333,0.5,0
4.96457E-2,58.789667422,0.576871302,0.074074074,0.555555556,0
5.3362E-2,64.1258647,0.594386679,0.064814815,0.611111111,0
5.37617E-2,69.502031269,0.596184501,0.055555556,0.666666667,0
5.51218E-2,75.014207276,0.602184602,0.046296296,0.722222222,0
5.63284E-2,80.647045832,0.607360351,0.037037037,0.777777778,0
5.63488E-2,86.281921373,0.607446571,0.027777778,0.833333333,0
6.0772E-2,92.359121521,0.625312832,0.018518519,0.888888889,0
7.64088E-2,100,0.677242708,0.009259259,0.944444444,0
7.64088E-2,100,0.677242708,0.009259259,1,0
