x,y,species logistic values
1.0,1.0,0.46381366
2.0,2.0,0.33845043
3.0,3.0,0.37176707
4.0,4.0,0.46759078
5.0,5.0,0.45468256
6.0,6.0,0.3642042
7.0,7.0,0.35217476
8.0,8.0,0.55908054
9.0,9.0,0.46293342
10.0,10.0,0.47286782
11.0,11.0,0.43853572
12.0,12.0,0.42671266
13.0,13.0,0.57770497
14.0,14.0,0.4768466
15.0,15.0,0.4256212
16.0,16.0,0.44971004
17.0,17.0,0.39671654
18.0,18.0,0.512977
19.0,19.0,0.6041927
20.0,20.0,0.6041927
21.0,21.0,0.5039926
22.0,22.0,0.6041927
23.0,23.0,0.3997664
24.0,24.0,0.52759844
25.0,25.0,0.42745447
26.0,26.0,0.6041927
27.0,27.0,0.34031212
28.0,28.0,0.34872228
29.0,29.0,0.3564151
30.0,30.0,0.37215328
31.0,31.0,0.46073642
32.0,32.0,0.36160386
33.0,33.0,0.5818149
34.0,34.0,0.43856525
35.0,35.0,0.436844
36.0,36.0,0.3617168
37.0,37.0,0.38143674
38.0,38.0,0.53669536
39.0,39.0,0.5452885
40.0,40.0,0.38344157
41.0,41.0,0.4203363
42.0,42.0,0.38954267
43.0,43.0,0.37399647
44.0,44.0,0.5423491
45.0,45.0,0.41492328
46.0,46.0,0.4668305
47.0,47.0,0.36032104
48.0,48.0,0.42352024
49.0,49.0,0.38231453
50.0,50.0,0.38537088
51.0,51.0,0.43006247
52.0,52.0,0.44606787
53.0,53.0,0.44210723
54.0,54.0,0.49496362
55.0,55.0,0.45702407
56.0,56.0,0.4986371
57.0,57.0,0.35375503
58.0,58.0,0.5448713
59.0,59.0,0.35865802
60.0,60.0,0.5421396
61.0,61.0,0.5092894
62.0,62.0,0.4102359
63.0,63.0,0.5711711
64.0,64.0,0.34474635
65.0,65.0,0.3827049
66.0,66.0,0.58616734
67.0,67.0,0.6041927
68.0,68.0,0.531162
69.0,69.0,0.38506123
70.0,70.0,0.5003096
71.0,71.0,0.36870408
72.0,72.0,0.34844735
73.0,73.0,0.4040858
74.0,74.0,0.36085758
75.0,75.0,0.40254602
76.0,76.0,0.37884778
77.0,77.0,0.33366457
78.0,78.0,0.41800603
79.0,79.0,0.408823
80.0,80.0,0.43330836
81.0,81.0,0.4088705
82.0,82.0,0.4970934
83.0,83.0,0.40031186
84.0,84.0,0.3268437
85.0,85.0,0.51111126
86.0,86.0,0.6041927
87.0,87.0,0.3785147
88.0,88.0,0.42624676
89.0,89.0,0.4465568
90.0,90.0,0.49078384
