Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.8604E-4,0.028604043,0.014253731,1,0,0
3.56081E-4,0.06421219,0.017682244,0.990740741,0,0
3.74124E-4,0.101624611,0.018561577,0.981481481,0,0
4.61705E-4,0.239482197,0.022807648,0.953703704,0,0
5.20883E-4,0.342085802,0.025655969,0.935185185,0,0
6.53512E-4,0.407436983,0.031979666,0.925925926,0,0
6.6353E-4,0.539193099,0.03245398,0.907407407,0,0
6.68786E-4,0.606071732,0.032702682,0.898148148,0,0
6.86535E-4,0.742137126,0.033541434,0.87962963,0,0
6.87105E-4,0.810847595,0.033568355,0.87037037,0,0
7.35106E-4,0.954851728,0.035829425,0.851851852,0,0
7.63879E-4,1.031239629,0.037179695,0.842592593,0,0
8.15435E-4,1.112783133,0.039589697,0.833333333,0,0
8.33564E-4,1.278800475,0.04043426,0.814814815,0,0
8.38607E-4,1.362661184,0.040668956,0.805555556,0,0
8.95568E-4,1.452217949,0.043311665,0.796296296,0,0
9.18933E-4,1.544111208,0.044391484,0.787037037,0,0
1.02218E-3,1.841796877,0.049134024,0.759259259,0,0
1.14265E-3,2.061993549,0.054608519,0.740740741,0,0
1.16703E-3,2.293995948,0.05570893,0.722222222,0,0
1.26446E-3,2.540172865,0.06008008,0.703703704,0,0
1.32382E-3,2.803560755,0.06272387,0.685185185,0,0
1.41683E-3,3.078899722,0.066836282,0.666666667,0,0
1.5711E-3,3.381514627,0.073578111,0.648148148,0,0
1.58794E-3,3.54030894,0.074308299,0.638888889,0,0
1.62869E-3,3.864382086,0.076070052,0.62037037,0,0
1.6818E-3,4.032562489,0.078356388,0.611111111,0,0
1.99979E-3,4.425005332,0.091811279,0.592592593,0,0
2.07281E-3,4.632286022,0.094845665,0.583333333,0,0
2.09827E-3,4.842112527,0.095898844,0.574074074,0,0
2.19004E-3,5.061116516,0.099675226,0.564814815,0,0
2.28871E-3,5.289987238,0.103700189,0.555555556,0,0
2.31168E-3,5.521155146,0.104632127,0.546296296,0,0
2.33123E-3,5.754277995,0.105423695,0.537037037,0,0
2.56307E-3,6.244034017,0.114705536,0.518518519,0,0
2.84344E-3,6.528378207,0.125676104,0.509259259,0,0
2.92193E-3,6.820571277,0.12869873,0.5,0,0
3.03438E-3,7.12400932,0.132992961,0.490740741,0,0
3.1428E-3,7.438288899,0.137093239,0.481481481,0,0
3.27894E-3,7.766182821,0.14218759,0.472222222,0,0
3.6757E-3,8.133752419,0.156696559,0.462962963,0,0
3.76937E-3,8.510689782,0.160050912,0.453703704,0,0
3.87597E-3,8.89828634,0.163835383,0.444444444,0,0
3.8915E-3,9.287436116,0.164383997,0.435185185,0,0
3.98248E-3,9.685683902,0.167583113,0.425925926,0,0
3.99151E-3,10.084835217,0.167899483,0.416666667,0,0
4.08345E-3,10.493179796,0.171104875,0.407407407,0.055555556,0
4.31492E-3,10.924671558,0.179067226,0.398148148,0.055555556,0
4.32999E-3,11.357670599,0.17958041,0.388888889,0.055555556,0
4.47408E-3,11.805078111,0.184453882,0.37962963,0.111111111,0
4.61536E-3,12.266613916,0.189176691,0.37037037,0.111111111,0
4.67106E-3,12.733719823,0.191023667,0.361111111,0.111111111,0
5.70467E-3,13.304186791,0.223832025,0.351851852,0.111111111,0
6.14648E-3,13.91883482,0.237057751,0.342592593,0.111111111,0
7.64951E-3,14.683786129,0.278861462,0.333333333,0.111111111,0
7.67653E-3,15.451438638,0.279570881,0.324074074,0.111111111,0
7.9713E-3,16.248569134,0.287222948,0.314814815,0.111111111,0
8.07119E-3,17.055688582,0.289779197,0.305555556,0.111111111,0
1.05603E-2,18.111721031,0.348042642,0.296296296,0.111111111,0
1.18798E-2,19.299700272,0.37521244,0.287037037,0.111111111,0
1.37663E-2,20.676335218,0.410347024,0.277777778,0.111111111,0
1.46946E-2,22.145797261,0.426223354,0.268518519,0.111111111,0
1.53506E-2,23.680858927,0.436936998,0.259259259,0.111111111,0
1.54602E-2,25.226882827,0.438688441,0.25,0.111111111,0
1.55469E-2,26.781571542,0.440065133,0.240740741,0.111111111,0
1.58316E-2,28.364734935,0.444542096,0.231481481,0.111111111,0
1.68968E-2,30.054418412,0.460673437,0.222222222,0.111111111,0
1.73407E-2,31.788491488,0.467122497,0.212962963,0.111111111,0
1.73675E-2,33.52523918,0.467506151,0.203703704,0.166666667,0
1.88643E-2,35.411672061,0.488130884,0.194444444,0.166666667,0
1.89273E-2,37.304402316,0.488963618,0.185185185,0.222222222,0
1.95491E-2,39.259316084,0.497043289,0.175925926,0.277777778,0
1.96803E-2,41.227342486,0.49871454,0.166666667,0.277777778,0
1.98469E-2,43.212028698,0.500821939,0.157407407,0.277777778,0
2.31818E-2,45.530210913,0.539569651,0.148148148,0.333333333,0
2.37692E-2,47.907133863,0.545779853,0.138888889,0.388888889,0
2.61657E-2,50.523699357,0.569470102,0.12962963,0.388888889,0
2.61927E-2,53.142970903,0.569723512,0.12037037,0.444444444,0
2.62097E-2,55.763938953,0.56988223,0.111111111,0.444444444,0
2.62212E-2,58.386059211,0.569989959,0.101851852,0.5,0
2.73896E-2,61.125017823,0.580640855,0.092592593,0.5,0
2.74414E-2,63.869160487,0.581101218,0.083333333,0.555555556,0
2.77535E-2,66.644512807,0.583851533,0.074074074,0.555555556,0
3.6919E-2,70.336416363,0.651120726,0.064814815,0.611111111,0
4.07881E-2,74.415224855,0.673406272,0.055555556,0.666666667,0
4.45443E-2,78.869658952,0.692477387,0.046296296,0.722222222,0
4.52667E-2,83.396326899,0.695892313,0.037037037,0.777777778,0
4.63465E-2,88.03098053,0.700858311,0.027777778,0.833333333,0
5.43783E-2,93.468805885,0.733256132,0.018518519,0.888888889,0
6.53119E-2,100,0.767530062,0.009259259,0.944444444,0
6.53119E-2,100,0.767530062,0,0.944444444,0
