X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.044546446748678456,49.3505310530862,0.5472029058558378
2.0,2.0,train,0.041992379711613494,36.17720179551,0.5325367919375429
3.0,3.0,train,0.045446347531241854,53.89497514977017,0.5521535204851703
4.0,4.0,train,0.0526704820759158,64.23757519754047,0.58828940804717
5.0,5.0,train,0.06163794645094307,92.67203718228738,0.6257720046555282
6.0,6.0,train,0.04403026823186691,44.895490741759886,0.544313547765303
7.0,7.0,train,0.03950489768758611,27.920940084340266,0.5173100372927012
8.0,8.0,train,0.05601837436558875,80.71141016540898,0.6031297450459369
9.0,9.0,train,0.050756465969732455,58.970543787861345,0.5792955415165333
10.0,10.0,train,0.04315361741671694,40.492710938508885,0.5393209925561708
11.0,11.0,train,0.07327992055904815,100.0,0.6653281352068556
12.0,12.0,train,0.030915337898353042,20.566807866062714,0.4561369459530464
13.0,13.0,train,0.040570819991363825,31.978082806120202,0.523954712895723
14.0,14.0,train,0.0541979819663891,69.65735873305442,0.5951957798537498
15.0,15.0,train,0.030008076246714303,17.475189221156338,0.4487579693877551
16.0,16.0,train,0.05796707137780902,86.50812815790145,0.6112853369945268
17.0,17.0,train,0.03403685442594917,23.970402293620005,0.4800823122057642
18.0,18.0,train,0.054522460057516695,75.10899761176401,0.5966331291860648
