x,y,species logistic values
1.0,1.0,0.46735197
2.0,2.0,0.5882171
3.0,3.0,0.38767138
4.0,4.0,0.4706015
5.0,5.0,0.38105705
6.0,6.0,0.37050614
7.0,7.0,0.4665946
8.0,8.0,0.47514024
9.0,9.0,0.44557953
10.0,10.0,0.43537533
11.0,11.0,0.5654264
12.0,12.0,0.43443248
13.0,13.0,0.45521054
14.0,14.0,0.4094004
15.0,15.0,0.50962085
16.0,16.0,0.5882171
17.0,17.0,0.5882171
18.0,18.0,0.50189686
19.0,19.0,0.5882171
20.0,20.0,0.41204807
21.0,21.0,0.5221973
22.0,22.0,0.43601605
23.0,23.0,0.5882171
24.0,24.0,0.36006168
25.0,25.0,0.36747068
26.0,26.0,0.37422976
27.0,27.0,0.38800877
28.0,28.0,0.464704
29.0,29.0,0.3787796
30.0,30.0,0.56898594
31.0,31.0,0.445605
32.0,32.0,0.44412038
33.0,33.0,0.37887853
34.0,34.0,0.39610857
35.0,35.0,0.53002787
36.0,36.0,0.33903193
37.0,37.0,0.5374305
38.0,38.0,0.39785528
39.0,39.0,0.42986497
40.0,40.0,0.38961852
41.0,41.0,0.5348976
42.0,42.0,0.42518276
43.0,43.0,0.4699475
44.0,44.0,0.37765542
45.0,45.0,0.43261716
46.0,46.0,0.39687344
47.0,47.0,0.3995354
48.0,48.0,0.43826813
49.0,49.0,0.45207265
50.0,50.0,0.44865906
51.0,51.0,0.49413577
52.0,52.0,0.4615087
53.0,53.0,0.49729332
54.0,54.0,0.37189445
55.0,55.0,0.53707093
56.0,56.0,0.37619737
57.0,57.0,0.53471714
58.0,58.0,0.5882171
59.0,59.0,0.5064503
60.0,60.0,0.42112473
61.0,61.0,0.55977273
62.0,62.0,0.36397067
63.0,63.0,0.39721358
64.0,64.0,0.5727585
65.0,65.0,0.5882171
66.0,66.0,0.5252641
67.0,67.0,0.3992658
68.0,68.0,0.49873093
69.0,69.0,0.38499424
70.0,70.0,0.3672288
71.0,71.0,0.41579503
72.0,72.0,0.37812564
73.0,73.0,0.39385164
74.0,74.0,0.35419002
75.0,75.0,0.42784983
76.0,76.0,0.41990086
77.0,77.0,0.44106987
78.0,78.0,0.41994196
79.0,79.0,0.49596643
80.0,80.0,0.41252142
81.0,81.0,0.3481503
82.0,82.0,0.50801665
83.0,83.0,0.57198805
84.0,84.0,0.5882171
85.0,85.0,0.39356118
86.0,86.0,0.45249397
87.0,87.0,0.5218946
88.0,88.0,0.49054307
89.0,89.0,0.39510047
90.0,90.0,0.49852788
