Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.04301E-3,0.104300653,0.032669993,1,0,0
1.50403E-3,0.25470351,0.046439923,0.983333333,0,0
1.56729E-3,0.411432077,0.048298778,0.966666667,0,0
1.65308E-3,0.576739903,0.050808304,0.95,0,0
1.74784E-3,0.751524049,0.053564892,0.933333333,0,0
1.80162E-3,0.931686538,0.055122299,0.916666667,0,0
1.92426E-3,1.124112661,0.058654385,0.9,0,0
2.03911E-3,1.328024138,0.061938453,0.883333333,0,0
2.24017E-3,1.552041547,0.067632617,0.866666667,0,0
2.24886E-3,1.776927249,0.067876968,0.85,0,0
2.2561E-3,2.002537076,0.06808065,0.833333333,0,0
2.3561E-3,2.469916598,0.070884517,0.8,0,0
2.45191E-3,2.715107974,0.073554998,0.783333333,0,0
2.47772E-3,2.962880037,0.074271678,0.766666667,0,0
2.63323E-3,3.226202839,0.078566902,0.75,0,0
2.81962E-3,3.50816446,0.083662848,0.733333333,0,0
2.9215E-3,3.80031471,0.086424715,0.716666667,0,0
3.04161E-3,4.104475972,0.089659275,0.7,0,0
3.30943E-3,4.435418733,0.096789695,0.683333333,0,0
3.57954E-3,4.793373087,0.103869118,0.666666667,0,0
4.01503E-3,5.194876097,0.115051938,0.65,0,0
4.40516E-3,5.635392514,0.124835761,0.633333333,0,0
4.44532E-3,6.079924539,0.125830534,0.616666667,0,0
4.5669E-3,6.536614593,0.128828659,0.6,0,0
4.69796E-3,7.006411014,0.132037691,0.583333333,0,0
5.18142E-3,7.524552904,0.143673151,0.566666667,0,0
5.98364E-3,8.122917366,0.162307244,0.55,0,0
6.41478E-3,8.764394965,0.171990404,0.533333333,0,0
6.48379E-3,9.41277406,0.173519724,0.516666667,0,0
6.88699E-3,10.101473052,0.182342609,0.5,0,0
7.29275E-3,10.830747953,0.191033366,0.483333333,0,0
7.39008E-3,11.56975639,0.19309074,0.466666667,0,0
7.53131E-3,12.322887827,0.196057375,0.45,0,0
8.90325E-3,13.213212567,0.223779741,0.433333333,0,0
9.46289E-3,14.159501176,0.234546839,0.416666667,0,0
1.05327E-2,15.212775739,0.254320405,0.4,0,0
1.40345E-2,16.616227367,0.312454233,0.383333333,0.1,0
1.41091E-2,18.027132607,0.313593269,0.366666667,0.1,0
1.62989E-2,19.657023961,0.345451894,0.35,0.1,0
1.67458E-2,21.331603919,0.351593375,0.333333333,0.1,0
1.70092E-2,23.032520901,0.355159151,0.316666667,0.2,0
1.79156E-2,24.824080894,0.367137138,0.3,0.2,0
1.90927E-2,26.733349448,0.382043207,0.283333333,0.2,0
2.3051E-2,29.038445886,0.427396211,0.266666667,0.2,0
2.7048E-2,31.743247098,0.466904306,0.25,0.2,0
2.82378E-2,34.567025572,0.477632645,0.233333333,0.2,0
3.00376E-2,37.570788758,0.493065658,0.216666667,0.2,0
3.27727E-2,40.84806108,0.514847239,0.2,0.3,0
3.57319E-2,44.421247807,0.536398695,0.183333333,0.3,0
3.58936E-2,51.583794007,0.537521508,0.15,0.3,0
4.25972E-2,55.84351773,0.579713955,0.133333333,0.3,0
4.36339E-2,60.206909367,0.585561011,0.116666667,0.4,0
4.73E-2,64.936914169,0.604994857,0.1,0.5,0
4.77323E-2,69.710141766,0.607166615,0.083333333,0.5,0
5.89565E-2,75.605790096,0.656246007,0.066666667,0.6,0
6.42492E-2,82.030706089,0.675370854,0.05,0.7,0
7.66411E-2,89.694815522,0.712783875,0.033333333,0.8,0
1.03052E-1,100,0.769420525,0.016666667,0.9,0
1.03052E-1,100,0.769420525,0.016666667,1,0
