Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.5937E-6,0.00035937,0.000074737,1,0,0
7.47479E-6,0.001106849,0.000155437,0.9875,0,0
1.58303E-5,0.003994083,0.000329132,0.9625,0,0
1.62252E-5,0.005616603,0.000337339,0.95,0,0
1.63743E-5,0.010515018,0.000340438,0.9125,0,0
3.5132E-5,0.027385789,0.000730145,0.8375,0,0
6.42215E-5,0.051953513,0.001333903,0.775,0,0
1.65633E-4,0.115583951,0.003433018,0.7125,0,0
2.58037E-4,0.217684057,0.005338019,0.65,0,0
3.86648E-4,0.313024158,0.007977396,0.6125,0,0
5.08327E-4,0.405233562,0.01046163,0.5875,0,0
6.44544E-4,0.526744484,0.013227953,0.5625,0,0
7.74768E-4,0.604221288,0.015858157,0.55,0,0
8.51592E-4,0.768427079,0.017403239,0.525,0,0
9.66064E-4,0.865033434,0.019696522,0.5125,0,0
1.05116E-3,0.970149279,0.021394356,0.5,0,0
1.08534E-3,1.078683003,0.022074645,0.4875,0,0
1.12387E-3,1.191069583,0.022840378,0.475,0,0
1.32236E-3,1.323305545,0.026766401,0.4625,0,0
1.33528E-3,1.456833911,0.027020933,0.45,0,0
1.35358E-3,1.592191718,0.027381004,0.4375,0,0
1.36935E-3,1.86463054,0.0276912,0.4125,0,0
1.38317E-3,2.002947744,0.027962909,0.4,0,0
1.52927E-3,2.297051653,0.030825551,0.375,0,0
1.64613E-3,2.617697777,0.033103014,0.35,0,0
1.68593E-3,2.786290457,0.033876209,0.3375,0,0
2.33745E-3,3.020035483,0.046360684,0.325,0,0
2.57115E-3,3.277150718,0.050760615,0.3125,0,0
5.55219E-3,3.832369703,0.103520846,0.3,0,0
5.55488E-3,4.387857523,0.103565779,0.2875,0,0
5.58117E-3,4.945974478,0.104004977,0.275,0,0
6.71012E-3,5.616986374,0.122466482,0.2625,0,0
7.10875E-3,6.327861812,0.128804863,0.25,0,0
7.56814E-3,7.084675876,0.135996574,0.2375,0,0
9.54241E-3,8.038916671,0.165598489,0.225,0,0
9.56072E-3,8.994989038,0.16586362,0.2125,0,0
1.95591E-2,10.950899344,0.289162786,0.2,0,0
2.05894E-2,13.009834521,0.299827292,0.1875,0,0
3.39214E-2,16.401970713,0.413661444,0.175,0,0
3.67405E-2,20.076016871,0.433148728,0.1625,0.076923077,0
3.91766E-2,23.993678441,0.448974641,0.15,0.076923077,0
4.87103E-2,28.864709676,0.503249031,0.1375,0.153846154,0
4.98134E-2,33.846048451,0.508846408,0.125,0.230769231,0
5.38966E-2,39.235706773,0.528512192,0.1125,0.307692308,0
6.01129E-2,45.24699758,0.555601627,0.1,0.384615385,0
6.21794E-2,51.46493889,0.563930532,0.0875,0.461538462,0
6.94599E-2,58.410928602,0.590940596,0.075,0.538461538,0
7.32874E-2,65.739665952,0.603840667,0.0625,0.615384615,0
7.3506E-2,73.090270169,0.60455314,0.05,0.692307692,0
7.92046E-2,81.010729274,0.622257162,0.0375,0.769230769,0
8.12462E-2,89.13535348,0.628220461,0.025,0.846153846,0
1.08646E-1,100,0.693217488,0.0125,0.923076923,0
1.08646E-1,100,0.693217488,0,0.923076923,0
