x,y,species logistic values
1.0,1.0,0.034349825
2.0,2.0,0.21121858
3.0,3.0,4.3348217E-4
4.0,4.0,0.041629463
5.0,5.0,0.020310787
6.0,6.0,1.7105455E-4
7.0,7.0,0.002238885
8.0,8.0,0.026640428
9.0,9.0,0.013929099
10.0,10.0,0.004050773
11.0,11.0,0.084808744
12.0,12.0,0.028005265
13.0,13.0,0.041010156
14.0,14.0,0.020836953
15.0,15.0,1.20789686E-4
16.0,16.0,3.990299E-4
17.0,17.0,6.520578E-4
18.0,18.0,0.23135798
19.0,19.0,0.10036991
20.0,20.0,0.0071558347
21.0,21.0,4.1047498E-4
22.0,22.0,0.0014236791
23.0,23.0,0.04573164
24.0,24.0,1.4012826E-4
25.0,25.0,5.2634126E-4
26.0,26.0,0.008128772
27.0,27.0,6.589511E-4
28.0,28.0,0.005260991
29.0,29.0,0.005059188
30.0,30.0,1.0019595E-4
31.0,31.0,0.07979089
32.0,32.0,1.2568821E-4
33.0,33.0,0.050836958
34.0,34.0,0.0811225
35.0,35.0,0.03954811
36.0,36.0,0.042926777
37.0,37.0,1.07605854E-4
38.0,38.0,0.06589192
39.0,39.0,0.043647017
40.0,40.0,4.081641E-4
41.0,41.0,4.4673475E-4
42.0,42.0,0.006095098
43.0,43.0,0.003989977
44.0,44.0,0.010646792
45.0,45.0,0.0036241678
46.0,46.0,0.0010762686
47.0,47.0,0.055471335
48.0,48.0,4.8050022E-4
49.0,49.0,0.0041547967
50.0,50.0,0.061549135
