x,y,species logistic values
1.0,1.0,0.5850582
2.0,2.0,0.3672112
3.0,3.0,0.39512426
4.0,4.0,0.47383907
5.0,5.0,0.4633194
6.0,6.0,0.3787575
7.0,7.0,0.5483285
8.0,8.0,0.47004518
9.0,9.0,0.47813585
10.0,10.0,0.45013592
11.0,11.0,0.44046026
12.0,12.0,0.56357074
13.0,13.0,0.4813744
14.0,14.0,0.43956593
15.0,15.0,0.45926273
16.0,16.0,0.41579863
17.0,17.0,0.51076233
18.0,18.0,0.5850582
19.0,19.0,0.5850582
20.0,20.0,0.5034553
21.0,21.0,0.5850582
22.0,22.0,0.41831484
23.0,23.0,0.52265954
24.0,24.0,0.441068
25.0,25.0,0.5850582
26.0,26.0,0.3687817
27.0,27.0,0.502331
28.0,28.0,0.37585965
29.0,29.0,0.38231078
30.0,30.0,0.39544564
31.0,31.0,0.38665023
32.0,32.0,0.56694186
33.0,33.0,0.45016006
34.0,34.0,0.44875273
35.0,35.0,0.38674462
36.0,36.0,0.40315735
37.0,37.0,0.5300675
38.0,38.0,0.3486511
39.0,39.0,0.53707135
40.0,40.0,0.40481952
41.0,41.0,0.43523264
42.0,42.0,0.4098711
43.0,43.0,0.39697877
44.0,44.0,0.5346749
45.0,45.0,0.430789
46.0,46.0,0.47321984
47.0,47.0,0.38557827
48.0,48.0,0.43784386
49.0,49.0,0.40388525
50.0,50.0,0.40641803
51.0,51.0,0.44320387
52.0,52.0,0.45628962
53.0,53.0,0.45305476
54.0,54.0,0.49611253
55.0,55.0,0.49909997
56.0,56.0,0.38008246
57.0,57.0,0.5367312
58.0,58.0,0.5850582
59.0,59.0,0.3841877
60.0,60.0,0.53450406
61.0,61.0,0.5850582
62.0,62.0,0.50776297
63.0,63.0,0.42693648
64.0,64.0,0.37251693
65.0,65.0,0.4042089
66.0,66.0,0.5705154
67.0,67.0,0.5850582
68.0,68.0,0.5255608
69.0,69.0,0.39748004
70.0,70.0,0.40616152
71.0,71.0,0.5004601
72.0,72.0,0.3925738
73.0,73.0,0.42187476
74.0,74.0,0.3860267
75.0,75.0,0.42060623
76.0,76.0,0.40100923
77.0,77.0,0.36316735
78.0,78.0,0.42577434
79.0,79.0,0.44586062
80.0,80.0,0.42581338
81.0,81.0,0.49784458
82.0,82.0,0.41876465
83.0,83.0,0.50924474
84.0,84.0,0.5850582
85.0,85.0,0.40073276
86.0,86.0,0.44007856
87.0,87.0,0.45668885
88.0,88.0,0.49271312
89.0,89.0,0.4021979
90.0,90.0,0.500268
