Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.2078E-4,0.022078049,0.010959238,1,0,0
2.94797E-4,0.051557785,0.014579765,0.990740741,0,0
3.58736E-4,0.117300961,0.017686025,0.972222222,0,0
3.95741E-4,0.232073629,0.019474877,0.944444444,0,0
4.4071E-4,0.318722801,0.021639985,0.925925926,0,0
5.4308E-4,0.420988866,0.02653327,0.907407407,0,0
5.69367E-4,0.533004184,0.027781879,0.888888889,0,0
5.92394E-4,0.649364472,0.028873017,0.87037037,0,0
5.97207E-4,0.709085144,0.029100759,0.861111111,0,0
6.15034E-4,0.770588592,0.02994346,0.851851852,0,0
6.30839E-4,0.833672481,0.030689296,0.842592593,0,0
6.72612E-4,0.900933714,0.032655145,0.833333333,0,0
7.39371E-4,1.045199125,0.035780292,0.814814815,0,0
7.77573E-4,1.122956447,0.03755957,0.805555556,0,0
8.32462E-4,1.206202602,0.040104544,0.796296296,0,0
8.80391E-4,1.379660045,0.042315889,0.777777778,0,0
9.6979E-4,1.476639065,0.046413401,0.768518519,0,0
9.77643E-4,1.574403387,0.046771662,0.759259259,0,0
9.96267E-4,1.772317184,0.047620217,0.740740741,0,0
1.08737E-3,2.088286576,0.051749516,0.712962963,0,0
1.14467E-3,2.316029423,0.054328083,0.694444444,0,0
1.21991E-3,2.557202233,0.057693512,0.675925926,0,0
1.36561E-3,2.820473211,0.06414183,0.657407407,0,0
1.41443E-3,3.102366216,0.066283075,0.638888889,0,0
1.73323E-3,3.420266222,0.080027098,0.62037037,0,0
1.74039E-3,3.59430542,0.080331156,0.611111111,0,0
1.78032E-3,3.772337489,0.082022975,0.601851852,0,0
1.88833E-3,4.147593205,0.086568363,0.583333333,0,0
2.0071E-3,4.348302856,0.091514847,0.574074074,0,0
2.10089E-3,4.558392149,0.095383627,0.564814815,0,0
2.10657E-3,4.769048729,0.095616556,0.555555556,0,0
2.23974E-3,5.207296414,0.101050651,0.537037037,0,0
2.33345E-3,5.440641418,0.104835166,0.527777778,0,0
2.51778E-3,5.692418942,0.112187319,0.518518519,0,0
2.63033E-3,5.955451518,0.116617517,0.509259259,0,0
2.63943E-3,6.219394733,0.116974028,0.5,0,0
2.70004E-3,6.489399043,0.119339613,0.490740741,0,0
2.88336E-3,6.777734811,0.126417681,0.481481481,0,0
3.08691E-3,7.086426017,0.134145108,0.472222222,0,0
3.44285E-3,7.430711127,0.147333905,0.462962963,0,0
3.56101E-3,7.786812031,0.151623694,0.453703704,0,0
3.67551E-3,8.154363294,0.155739827,0.444444444,0,0
3.69207E-3,8.523570457,0.156331781,0.435185185,0,0
3.87385E-3,8.910955733,0.16277596,0.425925926,0,0
4.10336E-3,9.321291857,0.170772819,0.416666667,0,0
4.11417E-3,9.732708684,0.171145608,0.407407407,0.055555556,0
4.46776E-3,10.179484348,0.183160461,0.398148148,0.055555556,0
4.48621E-3,10.628105326,0.183777937,0.388888889,0.055555556,0
4.61795E-3,11.089900638,0.188159341,0.37962963,0.055555556,0
4.79283E-3,11.569183403,0.19390302,0.37037037,0.055555556,0
5.18565E-3,12.087748417,0.206513415,0.361111111,0.055555556,0
6.05354E-3,12.693102461,0.233022368,0.351851852,0.055555556,0
6.41782E-3,13.334884321,0.243628487,0.342592593,0.055555556,0
6.7929E-3,14.014174354,0.254246948,0.333333333,0.055555556,0
7.02812E-3,14.716986585,0.260755234,0.324074074,0.111111111,0
7.71288E-3,15.488274318,0.279070851,0.314814815,0.111111111,0
8.15061E-3,16.303335091,0.290311019,0.305555556,0.111111111,0
1.00661E-2,17.309940398,0.335637148,0.296296296,0.111111111,0
1.2223E-2,18.532242266,0.380212697,0.287037037,0.111111111,0
1.45976E-2,19.992002085,0.422843952,0.277777778,0.111111111,0
1.47485E-2,21.466847591,0.425355048,0.268518519,0.111111111,0
1.5545E-2,23.021351506,0.438260454,0.259259259,0.111111111,0
1.55756E-2,26.133419414,0.438744664,0.240740741,0.111111111,0
1.6582E-2,27.791615882,0.454215899,0.231481481,0.111111111,0
1.86346E-2,29.655071816,0.483269099,0.222222222,0.111111111,0
1.87929E-2,31.53436,0.485382089,0.212962963,0.111111111,0
1.88229E-2,33.416650012,0.485780769,0.203703704,0.166666667,0
2.01096E-2,35.42760608,0.502307202,0.194444444,0.166666667,0
2.0692E-2,37.49680151,0.509443492,0.185185185,0.222222222,0
2.15241E-2,39.649212801,0.519292256,0.175925926,0.277777778,0
2.17001E-2,41.819225024,0.521324908,0.166666667,0.277777778,0
2.22909E-2,44.048319696,0.528024133,0.157407407,0.277777778,0
2.54104E-2,46.589361355,0.560500291,0.148148148,0.333333333,0
2.62135E-2,49.210707375,0.568149848,0.138888889,0.388888889,0
2.63019E-2,51.84089492,0.568975824,0.12962963,0.444444444,0
2.68248E-2,54.523378115,0.573797397,0.12037037,0.444444444,0
2.68737E-2,57.210749978,0.574242617,0.111111111,0.5,0
2.7809E-2,59.99164911,0.582584695,0.101851852,0.5,0
2.885E-2,62.876648614,0.591493613,0.092592593,0.555555556,0
2.88885E-2,65.76550136,0.591816081,0.083333333,0.555555556,0
2.89454E-2,68.66004006,0.592290995,0.074074074,0.611111111,0
2.90364E-2,71.563679112,0.593048798,0.064814815,0.611111111,0
3.93613E-2,75.499813358,0.663921174,0.055555556,0.666666667,0
4.2846E-2,79.784410765,0.682578112,0.046296296,0.722222222,0
4.37863E-2,84.163039064,0.687262925,0.037037037,0.777777778,0
4.45139E-2,88.614431342,0.690794339,0.027777778,0.833333333,0
5.19194E-2,93.806367834,0.722666153,0.018518519,0.888888889,0
6.19363E-2,100,0.756602168,0.009259259,0.944444444,0
6.19363E-2,100,0.756602168,0,0.944444444,0
