x,y,species logistic values
1.0,1.0,0.01767734
2.0,2.0,2.3001467E-4
3.0,3.0,0.10332995
4.0,4.0,0.03401987
5.0,5.0,0.005264838
6.0,6.0,0.0039016698
7.0,7.0,0.0038227937
8.0,8.0,9.2044915E-4
9.0,9.0,0.029662888
10.0,10.0,0.16789146
11.0,11.0,0.060196936
12.0,12.0,0.035260867
13.0,13.0,0.1055264
14.0,14.0,0.0019082422
15.0,15.0,0.020515483
16.0,16.0,0.012810205
17.0,17.0,0.0012981882
18.0,18.0,0.020398036
19.0,19.0,5.280199E-4
20.0,20.0,0.020426357
21.0,21.0,0.028345916
22.0,22.0,0.0043106726
23.0,23.0,0.024031462
24.0,24.0,0.009209365
25.0,25.0,0.013171295
26.0,26.0,0.020515483
27.0,27.0,5.439113E-5
28.0,28.0,0.022410808
29.0,29.0,0.021633014
30.0,30.0,0.019406477
31.0,31.0,0.033053726
32.0,32.0,9.733185E-5
33.0,33.0,5.176315E-4
34.0,34.0,0.041263446
35.0,35.0,0.019759992
36.0,36.0,0.020515483
37.0,37.0,1.9963934E-4
38.0,38.0,3.0943519E-4
39.0,39.0,0.0022278435
40.0,40.0,4.3366014E-4
41.0,41.0,4.330404E-4
42.0,42.0,0.0026095016
43.0,43.0,0.02086121
44.0,44.0,0.0011040579
45.0,45.0,0.32132438
46.0,46.0,0.040724218
47.0,47.0,0.04304581
48.0,48.0,0.003191635
49.0,49.0,4.6116055E-4
50.0,50.0,0.020515483
