Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.37024E-3,0.237024259,0.076173471,1,0,0
2.93887E-3,0.530910796,0.092752571,0.981818182,0,0
3.55727E-3,0.886638013,0.110120645,0.963636364,0,0
3.65299E-3,1.251936787,0.112749584,0.945454545,0,0
3.67089E-3,1.619026024,0.113239631,0.927272727,0,0
3.86226E-3,2.005252095,0.118443746,0.909090909,0,0
4.1131E-3,2.416561716,0.125173228,0.890909091,0,0
4.17571E-3,2.834132385,0.126836966,0.872727273,0,0
4.19621E-3,3.253752977,0.127380315,0.854545455,0,0
4.21946E-3,3.675698821,0.127995823,0.836363636,0,0
4.44999E-3,4.120697353,0.134051362,0.818181818,0,0
4.49649E-3,4.570346699,0.135262869,0.8,0,0
4.72637E-3,5.04298414,0.14120167,0.781818182,0,0
5.34373E-3,5.577357479,0.156754292,0.763636364,0,0
5.47596E-3,6.124953141,0.160012324,0.745454545,0,0
5.58067E-3,6.683019743,0.162574596,0.727272727,0,0
5.59128E-3,7.242147515,0.162833396,0.709090909,0,0
5.83498E-3,7.825645814,0.168733202,0.690909091,0,0
6.02965E-3,8.42861108,0.17338651,0.672727273,0,0
6.08151E-3,9.036762494,0.174617411,0.654545455,0,0
6.08267E-3,9.645029091,0.174644707,0.636363636,0,0
6.36487E-3,10.281515767,0.181278409,0.618181818,0,0
7.02401E-3,10.983916484,0.196365083,0.6,0,0
7.28238E-3,11.712154125,0.202128144,0.581818182,0,0
8.62136E-3,12.574289754,0.230718084,0.563636364,0,0
1.00531E-2,13.579597331,0.259105153,0.545454545,0,0
1.0445E-2,14.624094714,0.266513855,0.527272727,0,0
1.08549E-2,15.709587301,0.274106938,0.509090909,0,0
1.32004E-2,17.029631287,0.31469648,0.490909091,0,0
1.37727E-2,18.406896715,0.323919239,0.472727273,0,0
1.37919E-2,19.786083588,0.324224625,0.454545455,0,0
1.41274E-2,21.198823084,0.329513211,0.436363636,0,0
1.52969E-2,22.728508953,0.347316496,0.418181818,0.2,0
1.54372E-2,24.272231989,0.349390088,0.4,0.2,0
1.54437E-2,25.816604478,0.349485708,0.381818182,0.4,0
1.62838E-2,27.444981751,0.361621267,0.363636364,0.4,0
1.63863E-2,29.083615305,0.363071972,0.345454545,0.4,0
1.70708E-2,30.790693874,0.372586917,0.327272727,0.4,0
1.81811E-2,32.608802818,0.387431585,0.309090909,0.4,0
2.26994E-2,34.878743709,0.441231769,0.290909091,0.4,0
2.32308E-2,37.20182866,0.446944916,0.272727273,0.4,0
2.35298E-2,39.554813003,0.450108129,0.254545455,0.4,0
2.62314E-2,42.177957206,0.47712982,0.236363636,0.4,0
2.65163E-2,44.829582243,0.47982456,0.218181818,0.4,0
2.68664E-2,47.516219529,0.483099455,0.2,0.4,0
2.76704E-2,50.28326124,0.490466281,0.181818182,0.4,0
3.00969E-2,53.292948306,0.511477442,0.163636364,0.4,0
3.43655E-2,56.729501795,0.544519488,0.145454545,0.4,0
3.44905E-2,60.178554382,0.545419772,0.127272727,0.4,0
3.95133E-2,64.129888703,0.578869683,0.109090909,0.4,0
4.71435E-2,68.844241422,0.621211441,0.090909091,0.6,0
5.18932E-2,74.03355735,0.643521982,0.072727273,0.8,0
6.22721E-2,80.260763509,0.684171551,0.054545455,0.8,0
8.68223E-2,88.942996763,0.751263155,0.036363636,1,0
1.1057E-1,100,0.793662598,0.018181818,1,0
