x,y,species logistic values
1.0,1.0,0.030911477
2.0,2.0,0.0038919107
3.0,3.0,9.8110556E-15
4.0,4.0,5.5000407E-27
5.0,5.0,6.3600335E-13
6.0,6.0,4.5311815E-4
7.0,7.0,2.3680965E-11
8.0,8.0,0.12658669
9.0,9.0,3.0729527E-30
10.0,10.0,3.6506747E-23
11.0,11.0,1.1391148E-10
12.0,12.0,3.3147772E-19
13.0,13.0,2.730779E-8
14.0,14.0,1.1874946E-6
15.0,15.0,4.025671E-24
16.0,16.0,2.5476834E-18
17.0,17.0,1.2205578E-36
18.0,18.0,4.0735166E-8
19.0,19.0,0.029651161
20.0,20.0,2.2418246E-20
21.0,21.0,0.07980696
22.0,22.0,1.01812894E-14
23.0,23.0,3.8609334E-22
24.0,24.0,0.081311986
25.0,25.0,3.2115543E-16
26.0,26.0,0.09504365
27.0,27.0,0.013452105
28.0,28.0,0.16302632
29.0,29.0,0.16344401
30.0,30.0,1.4258914E-16
31.0,31.0,2.411261E-5
32.0,32.0,3.0930249E-30
33.0,33.0,2.9138595E-12
34.0,34.0,3.4690972E-23
35.0,35.0,4.500082E-24
36.0,36.0,1.495126E-12
37.0,37.0,0.001165381
38.0,38.0,0.1154887
39.0,39.0,0.063994214
40.0,40.0,0.10644161
41.0,41.0,0.003107917
42.0,42.0,4.2267215E-23
43.0,43.0,6.008671E-26
44.0,44.0,0.10371667
45.0,45.0,1.01112096E-16
46.0,46.0,9.5390935E-34
47.0,47.0,1.3647285E-28
48.0,48.0,6.9379315E-11
49.0,49.0,8.59702E-9
50.0,50.0,6.16325E-24
