x,y,species logistic values
1.0,1.0,0.41425925
2.0,2.0,0.24862546
3.0,3.0,0.4828834
4.0,4.0,0.28390133
5.0,5.0,0.44896263
6.0,6.0,0.2710689
7.0,7.0,0.7287375
8.0,8.0,0.22636625
9.0,9.0,0.36536503
10.0,10.0,0.39452058
11.0,11.0,0.20244814
12.0,12.0,0.23332718
13.0,13.0,0.64995515
14.0,14.0,0.76979065
15.0,15.0,0.39169234
16.0,16.0,0.5116155
17.0,17.0,0.61880416
18.0,18.0,0.43554032
19.0,19.0,0.39843336
20.0,20.0,0.28437114
21.0,21.0,0.31961387
22.0,22.0,0.22185627
23.0,23.0,0.20943755
24.0,24.0,0.3189261
25.0,25.0,0.2846973
26.0,26.0,0.26443207
27.0,27.0,0.46699643
28.0,28.0,0.46023068
29.0,29.0,0.16730301
30.0,30.0,0.5055841
31.0,31.0,0.59788716
32.0,32.0,0.33810666
33.0,33.0,0.3359995
34.0,34.0,0.31056052
35.0,35.0,0.6033012
36.0,36.0,0.20705764
37.0,37.0,0.20498328
38.0,38.0,0.4259948
39.0,39.0,0.30733016
40.0,40.0,0.57030565
41.0,41.0,0.5392587
42.0,42.0,0.2657531
43.0,43.0,0.19415669
44.0,44.0,0.5062958
45.0,45.0,0.23256698
46.0,46.0,0.1914794
47.0,47.0,0.17608634
48.0,48.0,0.35507974
49.0,49.0,0.19328003
50.0,50.0,0.20730586
