Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.72046E-4,0.067204618,0.024823021,1,0,0
9.952E-4,0.16672464,0.036325604,0.981818182,0,0
1.00189E-3,0.266914024,0.036560995,0.963636364,0,0
1.18683E-3,0.385596653,0.043019211,0.945454545,0,0
1.51395E-3,0.536992118,0.054233645,0.927272727,0,0
1.65519E-3,0.702511224,0.058994607,0.909090909,0,0
1.78651E-3,0.881161996,0.063378382,0.890909091,0,0
2.03809E-3,1.084970557,0.071663792,0.872727273,0,0
2.18428E-3,1.303398742,0.076411587,0.854545455,0,0
2.50096E-3,1.55349449,0.086531085,0.836363636,0,0
2.56794E-3,1.81028862,0.088643232,0.818181818,0,0
2.56799E-3,2.067088106,0.088644917,0.8,0,0
3.33144E-3,2.40023246,0.112045688,0.781818182,0,0
4.08666E-3,2.808898274,0.134041013,0.763636364,0,0
4.42041E-3,3.250939215,0.143417957,0.745454545,0,0
4.82784E-3,3.733723672,0.15459341,0.727272727,0,0
4.90783E-3,4.224506832,0.156753202,0.709090909,0,0
7.29598E-3,4.954104641,0.216514331,0.690909091,0,0
8.09737E-3,5.763841154,0.234714234,0.672727273,0,0
8.199E-3,6.583741042,0.236962148,0.654545455,0,0
8.56299E-3,7.440039804,0.244905566,0.636363636,0,0
9.10306E-3,8.350345814,0.256391589,0.618181818,0,0
1.01536E-2,9.365704893,0.277761644,0.6,0,0
1.11387E-2,10.479570956,0.296713508,0.581818182,0,0
1.24026E-2,11.719831701,0.319621332,0.563636364,0,0
1.32124E-2,13.041071231,0.333529657,0.545454545,0,0
1.33889E-2,14.379964832,0.336486631,0.527272727,0,0
1.38638E-2,15.766340692,0.34431103,0.509090909,0,0
1.67254E-2,17.438879884,0.387818528,0.490909091,0,0
1.7736E-2,19.212479136,0.401835444,0.472727273,0,0
2.00751E-2,21.219984595,0.431939768,0.454545455,0,0
2.21667E-2,23.436653931,0.456403882,0.436363636,0,0
2.34001E-2,25.776665473,0.469866979,0.418181818,0,0
2.56369E-2,28.340352954,0.492653643,0.4,0,0
2.63058E-2,30.970929375,0.499092202,0.381818182,0,0
2.65836E-2,33.629287315,0.5017186,0.363636364,0,0
2.6754E-2,36.304686095,0.503316016,0.345454545,0.2,0
2.72053E-2,39.02522009,0.507497937,0.327272727,0.2,0
2.75394E-2,41.779161332,0.510548154,0.309090909,0.2,0
2.76969E-2,44.548853494,0.511973209,0.290909091,0.2,0
2.78071E-2,47.329561135,0.512964907,0.272727273,0.2,0
2.78154E-2,50.111096388,0.513039252,0.254545455,0.2,0
2.79844E-2,52.909532244,0.514552501,0.236363636,0.2,0
2.8276E-2,55.737131395,0.517141731,0.218181818,0.2,0
2.84018E-2,58.577307986,0.5182499,0.2,0.2,0
2.84881E-2,61.426119551,0.519007767,0.181818182,0.2,0
2.85925E-2,64.285373652,0.519921099,0.163636364,0.2,0
2.88148E-2,67.166851774,0.521853372,0.145454545,0.2,0
2.89438E-2,70.061233106,0.522968124,0.127272727,0.2,0
2.89675E-2,72.95798093,0.523172009,0.109090909,0.2,0
4.00236E-2,76.960337206,0.602537441,0.090909091,0.2,0
4.47334E-2,81.433672728,0.628853194,0.072727273,0.4,0
4.87278E-2,86.306455695,0.648586329,0.054545455,0.6,0
6.84226E-2,93.148719784,0.721574377,0.036363636,0.6,0
6.85128E-2,100,0.72183886,0.018181818,0.8,0
