Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.84425E-11,0.000000005,0,0.981818182,0,0
1.18553E-10,0.000000017,0.000000001,0.963636364,0,0
1.19801E-10,0.000000029,0.000000001,0.945454545,0,0
8.95479E-10,0.000000159,0.000000006,0.909090909,0,0
1.33662E-9,0.000000293,0.000000009,0.890909091,0,0
4.36179E-9,0.000001154,0.00000003,0.836363636,0,0
1.20875E-8,0.00000335,0.000000082,0.8,0,0
1.42931E-7,0.000021478,0.000000974,0.745454545,0,0
1.43173E-7,0.000035795,0.000000976,0.727272727,0,0
2.83328E-7,0.000064128,0.000001931,0.709090909,0,0
3.64309E-7,0.000100559,0.000002483,0.690909091,0,0
1.16484E-6,0.000325191,0.000007939,0.654545455,0,0
2.03344E-6,0.000659802,0.000013858,0.618181818,0,0
4.44391E-6,0.001104193,0.000030285,0.6,0,0
2.04324E-5,0.003703651,0.000139231,0.563636364,0,0
2.2248E-5,0.00592845,0.000151602,0.545454545,0,0
3.60691E-5,0.012098798,0.000245757,0.509090909,0,0
9.75538E-5,0.029787056,0.000664407,0.472727273,0,0
1.40207E-4,0.055344807,0.000954624,0.436363636,0,0
3.32701E-4,0.108090988,0.002262296,0.4,0,0
5.95286E-4,0.226262651,0.004040603,0.363636364,0,0
8.11635E-4,0.307426159,0.005501028,0.345454545,0,0
1.22714E-3,0.430140139,0.008293842,0.327272727,0,0
2.0043E-3,0.630569787,0.013475611,0.309090909,0,0
3.34822E-3,0.96539226,0.022309743,0.290909091,0,0
3.92419E-3,1.357811548,0.026047545,0.272727273,0,0
3.95764E-3,1.753575157,0.0262637,0.254545455,0,0
4.49082E-3,2.202656673,0.029696911,0.236363636,0,0
4.51206E-3,2.653862419,0.029833192,0.218181818,0,0
4.85805E-3,3.139667241,0.032047529,0.2,0,0
4.94825E-3,3.634492079,0.032623148,0.181818182,0,0
4.97376E-3,4.1318681,0.03278583,0.163636364,0,0
5.01265E-3,4.633132852,0.033033698,0.145454545,0,0
5.10576E-3,5.143709045,0.033626694,0.127272727,0,0
1.67069E-2,6.814395122,0.102221604,0.109090909,0,0
1.70161E-1,23.830496662,0.536968778,0.090909091,0,0
1.78116E-1,41.642128439,0.548308122,0.072727273,0.2,0
1.8003E-1,59.645144824,0.550953691,0.054545455,0.4,0
1.90062E-1,78.651326717,0.564328918,0.036363636,0.6,0
2.13487E-1,100,0.592660568,0.018181818,0.8,0
2.13487E-1,100,0.592660568,0,0.8,0
