Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.60912E-8,0.000005609,0.000000825,1,0,0
2.72376E-7,0.000032847,0.000004007,0.989795918,0,0
6.08089E-7,0.000093656,0.000008947,0.979591837,0,0
6.65568E-7,0.000160212,0.000009792,0.969387755,0,0
1.46914E-6,0.00039538,0.000021615,0.948979592,0,0
1.56524E-6,0.000551904,0.000023029,0.93877551,0,0
2.54252E-6,0.001029206,0.000037406,0.918367347,0,0
5.51657E-6,0.002869784,0.000081157,0.87755102,0,0
1.31377E-5,0.005465161,0.000193253,0.857142857,0,0
2.29691E-5,0.011100817,0.000337825,0.826530612,0,0
3.89516E-5,0.025011297,0.000572757,0.785714286,0,0
5.90728E-5,0.053231368,0.000868368,0.734693878,0,0
1.37329E-4,0.113026544,0.002016405,0.673469388,0,0
2.73379E-4,0.206772425,0.004006042,0.62244898,0,0
3.37894E-4,0.328021268,0.004946746,0.581632653,0,0
4.29173E-4,0.406143603,0.006274685,0.56122449,0,0
5.31787E-4,0.506205865,0.007763308,0.540816327,0,0
5.73507E-4,0.618429531,0.00836725,0.520408163,0,0
6.19725E-4,0.742241213,0.009035462,0.5,0,0
6.21907E-4,0.804431942,0.009066995,0.489795918,0,0
6.73538E-4,0.935478613,0.009812354,0.469387755,0,0
7.00161E-4,1.005494716,0.010196249,0.459183673,0,0
7.51879E-4,1.154333682,0.010941161,0.43877551,0,0
7.71316E-4,1.231465253,0.011220828,0.428571429,0,0
8.26797E-4,1.31414496,0.012018251,0.418367347,0,0
8.60713E-4,1.400216218,0.012505079,0.408163265,0,0
8.81876E-4,1.575153357,0.012808622,0.387755102,0,0
1.04996E-3,1.776367949,0.01521271,0.367346939,0,0
1.19185E-3,2.008244248,0.017233116,0.346938776,0,0
1.6526E-3,2.332468345,0.023737131,0.326530612,0,0
2.00473E-3,2.532941522,0.028650052,0.316326531,0,0
2.14061E-3,2.950764695,0.030532617,0.295918367,0,0
2.31694E-3,3.182459074,0.032964855,0.285714286,0,0
2.4178E-3,3.424238916,0.034350497,0.275510204,0,0
2.43258E-3,3.667496473,0.034553187,0.265306122,0,0
2.4508E-3,3.912576708,0.034803076,0.255102041,0,0
2.52646E-3,4.165222605,0.035838948,0.244897959,0,0
2.60318E-3,4.425541103,0.036887193,0.234693878,0,0
2.62142E-3,4.687683036,0.037135979,0.224489796,0,0
2.62325E-3,4.950008303,0.037160985,0.214285714,0,0
2.64201E-3,5.214208841,0.037416696,0.204081633,0,0
2.70372E-3,5.48458116,0.038257319,0.193877551,0,0
2.72741E-3,5.757322532,0.038579604,0.183673469,0,0
2.74571E-3,6.031893196,0.038828313,0.173469388,0,0
2.83722E-3,6.315615314,0.040070605,0.163265306,0,0
3.10219E-3,6.625834087,0.043649434,0.153061224,0,0
4.28165E-3,7.053998961,0.059261594,0.142857143,0,0
8.6163E-3,7.915629261,0.112506948,0.132653061,0,0
1.12453E-2,9.040157714,0.141961517,0.12244898,0,0
1.56104E-2,10.601195119,0.186774547,0.112244898,0,0
2.49724E-2,13.098437173,0.26869184,0.102040816,0,0
3.31738E-2,16.415815165,0.327991781,0.091836735,0,0
7.89802E-2,24.313836621,0.537468515,0.081632653,0,0
8.93499E-2,33.248829719,0.567956523,0.071428571,0.125,0
9.54445E-2,42.793276795,0.584069742,0.06122449,0.25,0
9.80859E-2,52.601870063,0.590686036,0.051020408,0.375,0
1.0626E-1,63.227847154,0.60988883,0.040816327,0.5,0
1.08884E-1,74.116274275,0.615678096,0.030612245,0.625,0
1.25821E-1,86.698345442,0.6492664,0.020408163,0.75,0
1.33017E-1,100,0.661823667,0.010204082,0.875,0
1.33017E-1,100,0.661823667,0.010204082,1,0
