x,y,species logistic values
1.0,1.0,0.012766282
2.0,2.0,0.0013939345
3.0,3.0,0.0042275772
4.0,4.0,1.8808946E-4
5.0,5.0,0.009930676
6.0,6.0,7.7251054E-4
7.0,7.0,5.4453843E-4
8.0,8.0,6.427623E-5
9.0,9.0,1.9186099E-4
10.0,10.0,0.0026902324
11.0,11.0,0.01104227
12.0,12.0,0.01556806
13.0,13.0,0.010131162
14.0,14.0,5.158082E-4
15.0,15.0,2.5450324E-6
16.0,16.0,0.034097776
17.0,17.0,3.1192718E-5
18.0,18.0,0.014517154
19.0,19.0,2.8208568E-5
20.0,20.0,0.004085938
21.0,21.0,0.001265013
22.0,22.0,0.034057606
23.0,23.0,0.010037417
24.0,24.0,0.018395716
25.0,25.0,4.7538604E-4
26.0,26.0,0.001943667
27.0,27.0,0.019302076
28.0,28.0,3.0391236E-6
29.0,29.0,0.001818123
30.0,30.0,0.017438227
31.0,31.0,0.03322958
32.0,32.0,0.005860917
33.0,33.0,0.27963835
34.0,34.0,0.04976457
35.0,35.0,8.871466E-4
36.0,36.0,1.5372592E-4
37.0,37.0,0.014122163
38.0,38.0,4.6412297E-5
39.0,39.0,7.3103124E-4
40.0,40.0,0.09169179
41.0,41.0,0.021667605
42.0,42.0,0.006303241
43.0,43.0,0.013113801
44.0,44.0,0.016268604
45.0,45.0,0.026608642
46.0,46.0,1.3243269E-5
47.0,47.0,0.011823813
48.0,48.0,0.04263315
49.0,49.0,2.3118043E-4
50.0,50.0,0.042326324
51.0,51.0,0.040798575
52.0,52.0,0.038461007
53.0,53.0,0.046142653
54.0,54.0,0.038174734
55.0,55.0,0.004510288
56.0,56.0,0.02463762
57.0,57.0,0.039625898
58.0,58.0,2.9859759E-5
59.0,59.0,1.8972647E-5
60.0,60.0,0.029203897
61.0,61.0,0.0011410743
62.0,62.0,0.0067558833
63.0,63.0,0.002031038
64.0,64.0,0.13331893
65.0,65.0,0.04246839
66.0,66.0,0.013690515
67.0,67.0,0.2839509
68.0,68.0,0.0012622223
69.0,69.0,0.025526188
70.0,70.0,0.013166229
71.0,71.0,2.6459718E-4
72.0,72.0,0.012569697
73.0,73.0,0.17946073
74.0,74.0,3.2138636E-5
75.0,75.0,0.0018489839
76.0,76.0,9.918601E-6
77.0,77.0,0.029306673
78.0,78.0,0.011825477
79.0,79.0,7.0213206E-4
80.0,80.0,6.360091E-6
81.0,81.0,4.070095E-7
82.0,82.0,6.682337E-5
83.0,83.0,0.003863634
84.0,84.0,0.013452379
85.0,85.0,1.13621936E-4
86.0,86.0,2.5752303E-4
87.0,87.0,5.297508E-4
88.0,88.0,0.010349033
89.0,89.0,6.379474E-4
90.0,90.0,0.030675313
