x,y,species logistic values
1.0,1.0,0.33628935
2.0,2.0,0.08793727
3.0,3.0,0.23672612
4.0,4.0,0.031533115
5.0,5.0,0.31113338
6.0,6.0,0.06093635
7.0,7.0,0.04234811
8.0,8.0,0.07957478
9.0,9.0,0.02696
10.0,10.0,0.01382592
11.0,11.0,0.07976544
12.0,12.0,0.27750126
13.0,13.0,0.28105682
14.0,14.0,0.26252416
15.0,15.0,0.049790274
16.0,16.0,0.004755443
17.0,17.0,0.3985059
18.0,18.0,0.34505752
19.0,19.0,0.010978344
20.0,20.0,0.32197806
21.0,21.0,0.025837837
22.0,22.0,0.11608946
23.0,23.0,0.07899278
24.0,24.0,0.24099067
25.0,25.0,0.16512123
26.0,26.0,0.20707335
27.0,27.0,0.09118397
28.0,28.0,0.3535016
29.0,29.0,0.0029840155
30.0,30.0,0.13377455
31.0,31.0,0.16511962
32.0,32.0,0.2030581
33.0,33.0,0.33409977
34.0,34.0,0.047898218
35.0,35.0,0.41325453
36.0,36.0,0.26171452
37.0,37.0,0.46709764
38.0,38.0,0.24223457
39.0,39.0,0.07533161
40.0,40.0,0.3671638
41.0,41.0,0.040305153
42.0,42.0,0.37053093
43.0,43.0,0.024630455
44.0,44.0,0.026175398
45.0,45.0,0.2664262
46.0,46.0,0.40120223
47.0,47.0,0.296694
48.0,48.0,0.09533929
49.0,49.0,0.29658216
50.0,50.0,0.30396467
51.0,51.0,0.38369334
52.0,52.0,0.014617707
53.0,53.0,0.36149108
54.0,54.0,0.40846872
55.0,55.0,0.34071082
56.0,56.0,0.40628308
57.0,57.0,0.34478405
58.0,58.0,0.47390774
59.0,59.0,0.12009901
60.0,60.0,0.4997618
61.0,61.0,0.008032665
62.0,62.0,0.09056426
63.0,63.0,0.38564017
64.0,64.0,0.020204898
65.0,65.0,0.026405329
66.0,66.0,0.24976438
67.0,67.0,0.1202848
68.0,68.0,0.55401444
69.0,69.0,0.3476263
70.0,70.0,0.34329093
71.0,71.0,0.56582534
72.0,72.0,0.42096192
73.0,73.0,0.15283674
74.0,74.0,0.027941033
75.0,75.0,0.3054017
76.0,76.0,0.31355196
77.0,77.0,0.5504412
78.0,78.0,0.01810054
79.0,79.0,0.013358617
80.0,80.0,0.36285752
81.0,81.0,0.34283406
82.0,82.0,0.11977241
83.0,83.0,0.0069766412
84.0,84.0,0.0035839207
85.0,85.0,0.119918436
86.0,86.0,0.01652117
87.0,87.0,0.03310928
88.0,88.0,0.34775257
89.0,89.0,0.024607826
90.0,90.0,0.3057798
