Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.30367E-5,0.002303675,0.000995326,1,0,0
2.69411E-5,0.004997789,0.001163823,0.98989899,0,0
3.52984E-5,0.008527633,0.001524297,0.97979798,0,0
7.38133E-5,0.015908959,0.003182195,0.96969697,0,0
1.11543E-4,0.027063272,0.004800974,0.95959596,0,0
1.56941E-4,0.05588518,0.006741801,0.939393939,0,0
1.8493E-4,0.108073767,0.0079346,0.909090909,0,0
2.90183E-4,0.211532838,0.012394604,0.868686869,0,0
3.13312E-4,0.303827292,0.013369282,0.838383838,0,0
3.55423E-4,0.406952737,0.015138989,0.808080808,0,0
4.41814E-4,0.531686938,0.018749779,0.777777778,0,0
6.04097E-4,0.639692435,0.025461407,0.757575758,0,0
6.34286E-4,0.703121046,0.026699834,0.747474747,0,0
6.73042E-4,0.770425215,0.02828508,0.737373737,0,0
8.1686E-4,0.85211126,0.034122928,0.727272727,0,0
1.10881E-3,0.962992681,0.045760699,0.717171717,0,0
1.15843E-3,1.078835918,0.047710739,0.707070707,0,0
1.23648E-3,1.202483992,0.050762035,0.696969697,0,0
1.31919E-3,1.334402654,0.05397415,0.686868687,0,0
1.36961E-3,1.471363401,0.055921741,0.676767677,0,0
1.57909E-3,1.629272787,0.063928366,0.666666667,0,0
1.5935E-3,1.788622564,0.064473899,0.656565657,0,0
1.91267E-3,2.143999332,0.076401116,0.636363636,0,0
2.02103E-3,2.346101988,0.080381531,0.626262626,0,0
2.30856E-3,2.576958469,0.090779514,0.616161616,0,0
2.36272E-3,2.813230451,0.092711615,0.606060606,0,0
2.74022E-3,3.087252387,0.105954962,0.595959596,0,0
3.13461E-3,3.400713008,0.119384001,0.585858586,0,0
3.22622E-3,3.723334971,0.122445938,0.575757576,0,0
3.49808E-3,4.073142961,0.131408083,0.565656566,0,0
3.57489E-3,4.430631643,0.133907031,0.555555556,0,0
3.69621E-3,4.800253052,0.137825304,0.545454545,0,0
4.25536E-3,5.22578863,0.155434005,0.535353535,0,0
4.38374E-3,5.664162278,0.159375961,0.525252525,0,0
4.70285E-3,6.134447706,0.169016949,0.515151515,0,0
5.33133E-3,6.667581108,0.187371843,0.505050505,0,0
5.42388E-3,7.209968716,0.190006289,0.494949495,0,0
5.87597E-3,7.79756593,0.20263463,0.484848485,0,0
6.33851E-3,8.431416602,0.215153436,0.474747475,0,0
6.389E-3,9.070316126,0.216496186,0.464646465,0,0
6.98247E-3,9.768563243,0.23194214,0.454545455,0,0
7.38043E-3,10.5066058,0.241962755,0.444444444,0,0
7.62107E-3,11.268713219,0.247896489,0.434343434,0,0
7.6922E-3,12.037933099,0.249632483,0.424242424,0,0
7.8142E-3,12.81935326,0.25259171,0.414141414,0,0
7.94069E-3,13.613422406,0.255635229,0.404040404,0,0
7.98031E-3,14.411453555,0.256583449,0.393939394,0,0
8.21966E-3,15.233419277,0.262260691,0.383838384,0,0
8.49064E-3,16.082482913,0.268584511,0.373737374,0,0
8.60679E-3,16.943162404,0.271262219,0.363636364,0,0
9.09122E-3,17.852283948,0.282220973,0.353535354,0,0
9.51676E-3,18.803959464,0.29157931,0.343434343,0,0
9.54209E-3,19.758168143,0.292128705,0.333333333,0,0
9.75397E-3,20.733565543,0.296690984,0.323232323,0,0
9.98918E-3,21.732483356,0.301686931,0.313131313,0,0
1.01283E-2,22.745317356,0.304609574,0.303030303,0,0
1.02095E-2,23.766269936,0.306303346,0.292929293,0,0
1.02244E-2,24.78871459,0.306613739,0.282828283,0,0
1.04093E-2,25.829643366,0.310436042,0.272727273,0,0
1.10317E-2,26.932813843,0.323002692,0.262626263,0,0
1.13982E-2,28.072638801,0.330191244,0.252525253,0,0
1.15127E-2,29.223910649,0.332404991,0.242424242,0,0
1.18796E-2,30.411867889,0.339402122,0.232323232,0,0
1.30037E-2,31.712238698,0.359958226,0.222222222,0,0
1.32885E-2,33.041091135,0.364964878,0.212121212,0,0
1.40329E-2,34.444378403,0.377686996,0.202020202,0,0
1.44356E-2,35.887940857,0.384360432,0.191919192,0,0
1.46066E-2,37.348597778,0.387149846,0.181818182,0,0
1.47084E-2,38.819442022,0.388800189,0.171717172,0,0
1.5042E-2,40.323642125,0.394142173,0.161616162,0,0
1.52409E-2,41.847730022,0.397283024,0.151515152,0.111111111,0
1.55403E-2,43.401756426,0.401950236,0.141414141,0.111111111,0
1.6033E-2,45.005051878,0.409475572,0.131313131,0.222222222,0
2.10333E-2,47.1083863,0.476349907,0.121212121,0.222222222,0
2.26934E-2,49.377730323,0.495324109,0.111111111,0.222222222,0
2.67136E-2,52.049085564,0.536035165,0.101010101,0.222222222,0
3.30976E-2,55.358842793,0.588720842,0.090909091,0.333333333,0
3.31741E-2,58.67625486,0.589280078,0.080808081,0.333333333,0
3.40846E-2,62.084717481,0.595817143,0.070707071,0.333333333,0
3.48477E-2,65.569482685,0.601137212,0.060606061,0.444444444,0
4.49361E-2,70.063088147,0.660261655,0.050505051,0.444444444,0
5.02633E-2,75.089415839,0.684924153,0.04040404,0.555555556,0
5.95699E-2,81.046407551,0.720384708,0.03030303,0.666666667,0
8.58012E-2,89.626529869,0.787722794,0.02020202,0.777777778,0
1.03735E-1,100,0.817732023,0.01010101,0.888888889,0
1.03735E-1,100,0.817732023,0.01010101,1,0
