x,y,species logistic values
1.0,1.0,0.46895608
2.0,2.0,0.23408668
3.0,3.0,0.18885884
4.0,4.0,0.42694175
5.0,5.0,0.2218728
6.0,6.0,0.15417756
7.0,7.0,0.2104052
8.0,8.0,0.16977705
9.0,9.0,0.13656613
10.0,10.0,0.23869734
11.0,11.0,0.74249774
12.0,12.0,0.2097301
13.0,13.0,0.12768935
14.0,14.0,0.5780454
15.0,15.0,0.49797294
16.0,16.0,0.11738092
17.0,17.0,0.70896256
18.0,18.0,0.15698351
19.0,19.0,0.26715353
20.0,20.0,0.23190701
21.0,21.0,0.33230567
22.0,22.0,0.1474612
23.0,23.0,0.17490786
24.0,24.0,0.616858
25.0,25.0,0.09788736
26.0,26.0,0.75690097
27.0,27.0,0.78749764
28.0,28.0,0.3293634
29.0,29.0,0.45873067
30.0,30.0,0.1724496
31.0,31.0,0.5806871
32.0,32.0,0.37560782
33.0,33.0,0.6411804
34.0,34.0,0.3363857
35.0,35.0,0.2223202
36.0,36.0,0.2564319
37.0,37.0,0.14315312
38.0,38.0,0.5069359
39.0,39.0,0.16459864
40.0,40.0,0.15358791
41.0,41.0,0.61152774
42.0,42.0,0.22263089
43.0,43.0,0.20350912
44.0,44.0,0.4095638
45.0,45.0,0.40220854
46.0,46.0,0.5988064
47.0,47.0,0.11745366
48.0,48.0,0.45202073
49.0,49.0,0.14197245
50.0,50.0,0.313298
51.0,51.0,0.5565458
52.0,52.0,0.5664563
53.0,53.0,0.54093134
54.0,54.0,0.27475208
55.0,55.0,0.18830866
56.0,56.0,0.27265042
57.0,57.0,0.12199193
58.0,58.0,0.24756695
59.0,59.0,0.56278145
60.0,60.0,0.15793793
61.0,61.0,0.15149601
62.0,62.0,0.27763665
63.0,63.0,0.14967752
64.0,64.0,0.365429
65.0,65.0,0.24442066
66.0,66.0,0.35967147
67.0,67.0,0.52493685
68.0,68.0,0.4897173
69.0,69.0,0.18737113
70.0,70.0,0.60259485
71.0,71.0,0.2047441
72.0,72.0,0.41975677
73.0,73.0,0.43013805
74.0,74.0,0.38120362
75.0,75.0,0.15919726
76.0,76.0,0.24196988
77.0,77.0,0.5906685
78.0,78.0,0.45281148
79.0,79.0,0.1742206
80.0,80.0,0.13795066
81.0,81.0,0.10990718
82.0,82.0,0.12482459
83.0,83.0,0.26518282
84.0,84.0,0.2918103
85.0,85.0,0.13950305
86.0,86.0,0.14004174
87.0,87.0,0.1489613
88.0,88.0,0.43155906
89.0,89.0,0.15171392
90.0,90.0,0.242214
