Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.6316E-3,0.163160254,0.09788736,1,0,0
1.85669E-3,0.348829215,0.109907184,0.989795918,0,0
1.99974E-3,0.548802837,0.117380918,0.979591837,0,0
2.00114E-3,0.748916869,0.117453656,0.969387755,0,0
2.08921E-3,0.95783741,0.121991935,0.959183673,0,0
2.14464E-3,1.172300993,0.124824588,0.948979592,0,0
2.20106E-3,1.392407073,0.127689353,0.93877551,0,0
2.37828E-3,1.630234798,0.13656614,0.928571429,0,0
2.40625E-3,1.870859473,0.137950654,0.918367347,0,0
2.43771E-3,2.114630952,0.13950305,0.908163265,0,0
2.44866E-3,2.359497051,0.140041743,0.897959184,0,0
2.48801E-3,2.608297624,0.141972452,0.887755102,0,0
2.51215E-3,2.859512941,0.143153118,0.87755102,0,0
2.60083E-3,3.119596044,0.147461201,0.867346939,0,0
2.63192E-3,3.382788047,0.148961306,0.857142857,0,0
2.6468E-3,3.647468216,0.149677508,0.846938776,0,0
2.6847E-3,3.915938252,0.151496007,0.836734694,0,0
2.68925E-3,4.184863517,0.151713917,0.826530612,0,0
2.7285E-3,4.457713363,0.153587915,0.816326531,0,0
2.74088E-3,4.731801676,0.154177568,0.806122449,0,0
2.80005E-3,5.011807118,0.156983504,0.795918367,0,0
2.82027E-3,5.293834227,0.157937928,0.785714286,0,0
2.84702E-3,5.578535875,0.159197256,0.775510204,0,0
2.96264E-3,5.874800356,0.164598639,0.765306122,0,0
3.07491E-3,6.182291622,0.169777054,0.755102041,0,0
3.1334E-3,6.495631925,0.172449599,0.744897959,0,0
3.17237E-3,6.81286904,0.174220602,0.734693878,0,0
3.18754E-3,7.131622882,0.174907869,0.724489796,0,0
3.46704E-3,7.478326971,0.187371134,0.714285714,0,0
3.48841E-3,7.827168285,0.188308663,0.704081633,0,0
3.50098E-3,8.177266084,0.188858832,0.693877551,0,0
3.84195E-3,8.561460977,0.203509118,0.683673469,0,0
3.87127E-3,8.948587569,0.204744094,0.673469388,0,0
3.99056E-3,9.347643592,0.209730109,0.663265306,0,0
4.00683E-3,9.748326395,0.210405196,0.653061224,0,0
4.28748E-3,10.177074288,0.221872803,0.642857143,0,0
4.2986E-3,10.606933877,0.222320195,0.632653061,0,0
4.30632E-3,11.037566224,0.222630883,0.62244898,0,0
4.53992E-3,11.491558639,0.231907009,0.612244898,0,0
4.59564E-3,11.951122221,0.234086681,0.602040816,0,0
4.71453E-3,12.422575607,0.238697341,0.591836735,0,0
4.7998E-3,12.90255587,0.241969883,0.581632653,0,0
4.80619E-3,13.38317513,0.242213992,0.571428571,0,0
4.86414E-3,13.869589478,0.244420666,0.56122449,0,0
4.94736E-3,14.364325266,0.24756695,0.551020408,0,0
5.18561E-3,14.882886292,0.256431921,0.540816327,0,0
5.42644E-3,15.425529807,0.265182824,0.530612245,0,0
5.48146E-3,15.973676064,0.267153535,0.520408163,0,0
5.63653E-3,16.537328643,0.272650418,0.510204082,0,0
5.69643E-3,17.106971959,0.274752073,0.5,0,0
5.77922E-3,17.684894443,0.277636638,0.489795918,0,0
6.19583E-3,18.304477539,0.291810312,0.479591837,0,0
6.86022E-3,18.990499122,0.313297973,0.469387755,0,0
7.14918E-3,19.70541666,0.322241967,0.459183673,0,0
7.38476E-3,20.443893064,0.329363406,0.448979592,0.125,0
7.48357E-3,21.192249682,0.332305678,0.43877551,0.125,0
7.62202E-3,21.954452104,0.336385705,0.428571429,0.125,0
7.81888E-3,22.736339905,0.342101412,0.418367347,0.125,0
8.44601E-3,23.580941083,0.359671481,0.408163265,0.25,0
8.65907E-3,24.446848243,0.36542901,0.397959184,0.25,0
9.04536E-3,25.351383913,0.375607822,0.387755102,0.25,0
9.26313E-3,26.277696986,0.381203629,0.37755102,0.25,0
1.0117E-2,27.289393099,0.402208527,0.367346939,0.25,0
1.04303E-2,28.332423853,0.409563801,0.357142857,0.25,0
1.08777E-2,29.420191513,0.419756765,0.346938776,0.25,0
1.12026E-2,30.540450412,0.426941762,0.336734694,0.25,0
1.13498E-2,31.675426478,0.430138037,0.326530612,0.25,0
1.14157E-2,32.816998801,0.43155907,0.316326531,0.25,0
1.24035E-2,34.057344577,0.452020744,0.306122449,0.25,0
1.24431E-2,35.301655609,0.452811466,0.295918367,0.25,0
1.27436E-2,36.576017817,0.458730671,0.285714286,0.25,0
1.32785E-2,37.903871583,0.468956077,0.275510204,0.25,0
1.44306E-2,39.34692747,0.489717314,0.265306122,0.25,0
1.49151E-2,40.838440787,0.497972937,0.255102041,0.25,0
1.54596E-2,42.384400582,0.506935903,0.244897959,0.25,0
1.58762E-2,43.97201783,0.513580348,0.234693878,0.25,0
1.59441E-2,45.566429171,0.514647071,0.224489796,0.375,0
1.66152E-2,47.227944181,0.524936866,0.214285714,0.5,0
1.69625E-2,48.92419373,0.530093611,0.204081633,0.5,0
