x,y,species logistic values
1.0,1.0,0.50790197
2.0,2.0,0.30914733
3.0,3.0,0.41394576
4.0,4.0,0.2653396
5.0,5.0,0.47444937
6.0,6.0,0.29759485
7.0,7.0,0.22949193
8.0,8.0,0.28657034
9.0,9.0,0.21032767
10.0,10.0,0.3134606
11.0,11.0,0.4445516
12.0,12.0,0.7238512
13.0,13.0,0.29796013
14.0,14.0,0.28591567
15.0,15.0,0.20037635
16.0,16.0,0.5932593
17.0,17.0,0.5307501
18.0,18.0,0.18854418
19.0,19.0,0.6965279
20.0,20.0,0.33955556
21.0,21.0,0.24471536
22.0,22.0,0.30709934
23.0,23.0,0.3706626
24.0,24.0,0.39650393
25.0,25.0,0.22226883
26.0,26.0,0.25119045
27.0,27.0,0.62354976
28.0,28.0,0.16524005
29.0,29.0,0.7357734
30.0,30.0,0.7615648
31.0,31.0,0.39400178
32.0,32.0,0.49980605
33.0,33.0,0.24866128
34.0,34.0,0.59531784
35.0,35.0,0.6426214
36.0,36.0,0.29802138
37.0,37.0,0.3298249
38.0,38.0,0.21758135
39.0,39.0,0.53777677
40.0,40.0,0.24050696
41.0,41.0,0.2288618
42.0,42.0,0.3292075
43.0,43.0,0.6193817
44.0,44.0,0.27985185
45.0,45.0,0.4604448
46.0,46.0,0.6094468
47.0,47.0,0.49447873
48.0,48.0,0.5588106
49.0,49.0,0.21628901
50.0,50.0,0.38023403
51.0,51.0,0.57650894
52.0,52.0,0.5842301
53.0,53.0,0.5643384
54.0,54.0,0.34638304
55.0,55.0,0.26478794
56.0,56.0,0.34450015
57.0,57.0,0.19387524
58.0,58.0,0.3216885
59.0,59.0,0.5813672
60.0,60.0,0.23349279
61.0,61.0,0.22662014
62.0,62.0,0.3489606
63.0,63.0,0.22466356
64.0,64.0,0.42430183
65.0,65.0,0.3187801
66.0,66.0,0.551856
67.0,67.0,0.52426624
68.0,68.0,0.4874939
69.0,69.0,0.2638467
70.0,70.0,0.61240387
71.0,71.0,0.28106013
72.0,72.0,0.21440871
73.0,73.0,0.4686727
74.0,74.0,0.47701332
75.0,75.0,0.43732533
76.0,76.0,0.23482595
77.0,77.0,0.31650683
78.0,78.0,0.2175449
79.0,79.0,0.49510717
80.0,80.0,0.2504845
81.0,81.0,0.21186127
82.0,82.0,0.17976266
83.0,83.0,0.19711904
84.0,84.0,0.33777568
85.0,85.0,0.36151704
86.0,86.0,0.2135751
87.0,87.0,0.22389092
88.0,88.0,0.47815213
89.0,89.0,0.2268541
90.0,90.0,0.31673357
