Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.10737E-3,0.210737216,0.13364061,1,0,0
2.52897E-3,0.463634133,0.156200349,0.989795918,0,0
2.62816E-3,0.726449859,0.16133824,0.979591837,0,0
2.69036E-3,0.995485775,0.164528464,0.969387755,0,0
2.7535E-3,1.270835891,0.167742177,0.959183673,0,0
2.95071E-3,1.565907308,0.177622335,0.948979592,0,0
2.98169E-3,1.864076661,0.179153087,0.93877551,0,0
3.0165E-3,2.165726865,0.180866261,0.928571429,0,0
3.0286E-3,2.46858676,0.181459963,0.918367347,0,0
3.03351E-3,2.77193732,0.18170053,0.908163265,0,0
3.07203E-3,3.079140557,0.183584549,0.897959184,0,0
3.0979E-3,3.38893061,0.184844682,0.887755102,0,0
3.09865E-3,3.698795895,0.184881272,0.87755102,0,0
3.19618E-3,4.018413957,0.189597006,0.867346939,0,0
3.23029E-3,4.341442728,0.191233325,0.857142857,0,0
3.2466E-3,4.66610261,0.192013533,0.846938776,0,0
3.29307E-3,4.995409994,0.194228334,0.836734694,0,0
3.33597E-3,5.329007022,0.196261847,0.826530612,0,0
3.34949E-3,5.663956348,0.19690078,0.816326531,0,0
3.41401E-3,6.005357721,0.199935307,0.806122449,0,0
3.43602E-3,6.348960176,0.20096528,0.795918367,0,0
3.46512E-3,6.69547194,0.202322599,0.785714286,0,0
3.59056E-3,7.054528352,0.208122796,0.775510204,0,0
3.68505E-3,7.423033619,0.212436217,0.765306122,0,0
3.71187E-3,7.794220179,0.213651688,0.755102041,0,0
3.77487E-3,8.171707609,0.216493251,0.744897959,0,0
3.81678E-3,8.553385899,0.218371897,0.734693878,0,0
4.13196E-3,8.96658204,0.232216944,0.724489796,0,0
4.15471E-3,9.382052752,0.233197158,0.714285714,0,0
4.16807E-3,9.79886,0.233771964,0.704081633,0,0
4.52888E-3,10.251747765,0.248969991,0.693877551,0,0
4.55974E-3,10.707721391,0.250241894,0.683673469,0,0
4.68505E-3,11.176226266,0.255362947,0.673469388,0,0
4.99524E-3,11.675750338,0.26774343,0.663265306,0,0
5.00515E-3,12.176265074,0.268132047,0.653061224,0,0
5.00681E-3,12.676945991,0.268197196,0.642857143,0,0
5.01485E-3,13.178430862,0.268512211,0.632653061,0,0
5.25717E-3,13.704147526,0.277881364,0.62244898,0,0
5.31476E-3,14.235623371,0.280072941,0.612244898,0,0
5.43742E-3,14.779365496,0.284696653,0.602040816,0,0
5.52519E-3,15.331884138,0.287968634,0.591836735,0,0
5.53176E-3,15.885059812,0.288212378,0.581632653,0,0
5.5913E-3,16.444189888,0.290413748,0.571428571,0,0
5.67667E-3,17.011856965,0.293546264,0.56122449,0,0
5.90152E-3,17.60200945,0.301666091,0.551020408,0,0
5.92026E-3,18.194035235,0.302334153,0.540816327,0,0
6.22108E-3,18.816143479,0.312889835,0.530612245,0,0
6.37805E-3,19.453948973,0.318272039,0.520408163,0,0
6.43858E-3,20.097806568,0.320324704,0.510204082,0,0
6.5221E-3,20.750016979,0.323137472,0.5,0,0
6.94052E-3,21.444068935,0.336884118,0.489795918,0,0
7.25778E-3,22.169846669,0.346940769,0.479591837,0,0
7.60168E-3,22.930014919,0.35750314,0.469387755,0,0
7.88707E-3,23.718722335,0.366012407,0.459183673,0,0
8.21581E-3,24.54030295,0.375538775,0.448979592,0.125,0
8.35146E-3,25.375448828,0.37938694,0.43877551,0.125,0
8.54387E-3,26.229836124,0.384764663,0.428571429,0.125,0
8.91865E-3,27.121701201,0.394976098,0.418367347,0.25,0
9.15349E-3,28.037049986,0.401203652,0.408163265,0.25,0
